A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
A01:HELICOPTERS_COMING|ВНИМАНИЕ - Несколько неопознанных вертолетов приближаются к позициям Тани.\nУничтожьте их!
A01:HELIS_DESTROYED|Задание Выполнено. Советские вертолеты уничтожены.
A01:HUMVEE|Хамви - это скоростной пехотный транспорт,\nкоторый оборудован легким пулеметом для борьбы с вражескими пехотинцами.
A01:LIBERTY|Мы должны покинуть статую Свободы. Иначе мы попадем в окружение!
A01:LIBERTY2|Нью-Йорку сейчас нужна любая помощь. Спецагент Таня вернется в город и окажет поддержку
A01:LIBERTY3|нашим войскам оставшимся в городе.
A01:MAZE_TALK|ТАНЯ: "Лабиринт из живой изгороди, серьезно? У нас сейчас нету времени на игры!"
A01:NAME_CAPIER01|Удивительные анчоусы Альстара.
A01:NAME_HUMVEE|Хамви
A01:NAME_LONGBOW|Разбитый AH-64 Лонгбоу
A01:NAME_RIOT|Рядовой Шепард
A01:NAVY_HAS_ARRIVED|Местный морской гарнизон отправлен на ее защиту. Она должна выжить любой ценой.
A01:OBJ2|Задание 1: Установить контакт с фортом Брэдли.
A01:OBJ3|Задание 2: Уничтожить Советскую базу в Нью-Йорке.
A01:OBJ3C|Задача Выполнена. Советская база была нейтрализована.
A01:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
A01:RIOT_DEAD|Наш Миротворец был ранен. Мы забрали его с поля боя для восстановления.
A01:RIOT_INTRO|МИРОТВОРЕЦ: "Построиться!  У нас будет больше шансов, если мы будем держаться вместе!"
A01:RUSSIANS_ARRIVED|ВНИМАНИЕ - Советские войска уже высадились в Нью-Йорке! Мы должны поспешить!
A01:SHOW_BRADLEY|Форт Брэдли расположен недалеко от позиции Тани.\nНесмотря на недостаток снаряжения на базе, этого должно быть
A01:SHOW_BRADLEY2|достаточно, чтобы справиться с советскими войсками.\nКак только Таня достигнет его, форт перейдет под ваше командование.
A01:SHOW_BRADLEY3|Время здесь играет решающую роль, Командир.
A01:SITUATIONNOTGOOD|Половина форта Брэдли была уничтожена! Вражеский МСЦ высадился и начал строить базу!
A01:STATS1|???: "...более 815 000 пехотинцев..."
A01:STATS2|???: "...~7850 основных боевых танков..."
A01:STATS3|???: "...оружие на основе радиационного излучения..."
A01:STATS4|???: "...второе поколение Тесла вооружения и технологии Железного Занавеса..."
A01:STATS5|???: "...~2250 надводных кораблей, неизвестное количество подводных лодок..."
A01:STATS6|???: "...платформ МБР-Мидас: неизвестно...".
A01:STATS7|???: "Командир, вы меня слышите?"
A01:STATS8|???: "..."
A01:STATS9|???: "...Командир?"
A01:TANYA|Таня может справиться с чем угодно на земле и воде, будь то солдат, танк или здание.
A01:TANYA_DEAD|Таня убита - МИССИЯ ПРОВАЛЕНА
A01:TANYA_TIME_TO_LEAVE|Задача Выполнена. Спецагент Таня будет доставлена на материк.
A01:TIME_TO_REACH_HELP|Высадка войск противника на берег - лишь вопрос времени.
A01:WAKEUP|ЛЕЙТ. ЕВА: "С возвращением, Командир. Похоже что вам приснился кошмар."
A01:WAKEUP2|ТАНЯ: "Лучше бы это был кошмар! Советы давят на нас всем, что у них есть!".
A01:WE_WILL_FIGHT_BACK|Сегодня нашей стране был нанесен тяжелейший удар.
A01:WE_WILL_FIGHT_BACK2|Но вопреки всему мы обязаны выстоять, чего бы нам это ни стоило.
A02:BEWARE_RHINOS|ВНИМАНИЕ - Танки Носорог патрулируют территорию. Они могут легко раздавить уязвимые подразделения.
A02:BLOCKADE_DETECTED|ВНИМАНИЕ - Обнаружен патруль. Их никак не обойти, придется принять бой.
A02:BLOCKADE_SOVBASE|ВНИМАНИЕ - Обнаружен патруль. Будьте осторожны, похоже мы приближаемся к Советской базе.
A02:BRIDGE_CARE|Будьте особенно осторожны, при пересечении этого моста.
A02:BRIDGE_DESTROYED|Мост разрушен. Вам придется искать другой путь через эту реку.
A02:BRIEF1|Самолет, на котором летела наша группа, был сбит Советскими ПВО.
A02:BRIEF1A|К счастью, похоже что все остались живы, но наш экипаж был разделен в результате аварии.
A02:BRIEF1B|Капрал Шепард и отряд Штурмовых Специалистов будут продвигаться через северные Скалистые Горы.
A02:BRIEF2|Часовня находится недалеко от их позиции, но русские активно их ищут.
A02:BRIEF3|Команда Тани с группой инженеров идут с юга.
A02:CHAPEL_DESTROYED|Часовня Академии ВВС разрушена - МИССИЯ ПРОВАЛЕНА
A02:CRAZY_IVAN|ВНИМАНИЕ - Безумный Иван собирается взорвать мост!
A02:ENFO_REVERSED|Наши инструкции запрещают вам обучать Штурмовых Специалистов,\nно похоже что вы нашли другой способ сделать это.
A02:ENFO_REVERSED2|Прошу прощения Командир, мы постараемся дать вам надлежащий допуск как можно скорее.
A02:ENGINEER_PARADROP|Скоро к вам будет десантирована команда инженеров. Используйте их, чтобы вернуть нашу базу.
A02:ENGINEERS_DEAD|У вас больше нет способов захватить часовню Академии ВВС - МИССИЯ ПРОВАЛЕНА
A02:EXTRA_ENFO|Другие выжившие при падении - прибыли со стороны гор.
A02:FREE_CHRONO_MINER_LOL|Этот Рудокоп прятался в лесу от русских. Теперь он может возобновить свою работу.
A02:LATINS|Это танки Конфедерации! Они уже достигли этой части страны!?
A02:LATINS2|Это плохой знак. Мы должны поторопиться и захватить авиабазу, чтобы помочь генералу Карвилю.
A02:MEDIC|Полевые медики могут лечить нашу пехоту даже во время сражения.
A02:NAME_CASUPLA|Неприметные предметы снабжения
A02:NAME_HUMVEE|Хамви
A02:NAME_INIT|Вражеская Пехота
A02:NAME_RIOT|Кпрл. Шепард
A02:OBJ1|Задание 1: Отбить часовню академии ВВС и авиабазу.
A02:OBJ1C|Задание Выполнено. Часовня Академии ВВС снова под нашим контролем.
A02:OBJ2|Задание 2: Уничтожить все Советские войска в этом районе.
A02:OBJ2C|Задание Выполнено. Советские силы в этом районе уничтожены.
A02:PLAYER_DESTROYED|Все ваши силы были уничтожены - МИССИЯ ПРОВАЛЕНА
A02:RIOT_DEAD|Капрал Шепард был убит - МИССИЯ ПРОВАЛЕНА
A02:RIOT_EVAC|Капрал Шепард выполнил свою часть задания. Его помощь необходима на мексиканской границе.
A02:ROCKETEERS_ARRIVE|Группа экспериментальных Ракетчиков присоединилась к вам.
A02:RUSSIAN_BLOB|ВНИМАНИЕ - К вашей базе приближается крупный вражеский отряд.
A02:RUSSIANS_ALERTED|ВНИМАНИЕ - Советский командир заметил ваши действия.
A02:RUSSIANS_RETALIATE|Советский командир примет ответные меры через:
A02:SIEGE_CADRE|Призмо-винтовки Штурмовых Специалистов обладают хорошей дальностью и точностью стрельбы.
A02:SPYSAT|Центр Спутниковой Связи
A02:SPYSAT_CAPTURED|Этот старый центр спутниковой связи сможет работать с нашими спутниками для сканирования поля боя.
A02:STORMCHILD_BUILDABLE|Истребители Дитя Бури и транспортные вертолеты Жеребец теперь доступны для производства.
A02:STORMCHILDREN_ARRIVE|Два истребителя прибыли чтобы помочь вам в битве.\nИспользуйте их для быстрого уничтожения вражеских машин.
A02:STRATOFORTRESS|Проект этого дальнего беспилотного самолета-бомбардировщика был заброшен несколько лет назад.
A02:STRATOFORTRESS2|Учитывая нашу ситуацию - придется переоценить этот проект и возобновить работу над ним как можно скорее.
A02:TANYA_CAN_DIE|Теперь миссия не закончится провалом, если Таня падет в бою.
A02:TANYA_DEAD|Таня убита - МИССИЯ ПРОВАЛЕНА
A02:TANYA_NOTDEAD|Таня была ранена. Мы заберем ее с поля боя.
A02:TANYA_RETRAIN|Tanya has recovered. You can now recruit her from your Barracks.
A02:TANYA_SEVERELY_INJURED|Tanya was severely injured and had to be retrieved from the battlefield.
A03:AIRBASE|ВНИМАНИЕ - Русские соорудили свою авиабазу в Вашингтоне прямо перед зданием Капитолия!
A03:AIRBASE2|Это то откуда происходят атаки истребителями Фокстрот.\nУничтожение данной авиабазы - сильно снизит количество вражеской авиации.
A03:BEACON_DESTROYED|Задание Выполнено. Неизвестное Сооружение уничтожено.
A03:BEACON_DISCOVERED|Вот оно! Это Сооружение должно быть причиной всему происходящему в Вашингтоне.
A03:BEACON_DISCOVERED2|Его уничтожение должно освободить нашего Президента и людей от аномального воздействия.
A03:BEACON_POWERED|Похоже Сооружение имеет собственный источник питания.\nЕдинственный способ его нейтрализовать - уничтожить его.
A03:BRAINWASHED_ALLIES|ВНИМАНИЕ - Эта база перестала отвечать несколько часов назад.\nПохоже что сейчас они на одной стороне с Советами.
A03:BRING_STORMCHILDREN|Нам все еще нужно разведать местность и найти что-нибудь странное, прежде чем мы начнем действовать.
A03:BRING_STORMCHILDREN2|Мы готовим эскадру Детей Бури к разведке местности в окрестностях Белого Дома.
A03:BRING_STORMCHILDREN3|Эскадра будет готова произвести разведку через:
A03:BRING_STORMCHILDREN4|Эскадра разведчиков была поднята в воздух. Посмотрим что мы сможем найти.
A03:CARVILLE1|ГЕН.КАРВИЛЬ: "Командир, я бы хотел поболтать с вами, но у нас сейчас здесь чертовски сложная ситуация."
A03:CARVILLE1.1|
A03:CARVILLE10|ГЕН.КАРВИЛЬ: "Кажется это наши соседи коммунисты с южной границы...\nВышвырните их обоих вместе с русскими из Вашингтона!"
A03:CARVILLE11|ГЕН.КАРВИЛЬ: "Эта база теперь подчиняется красным, Но они все еще наши люди, и не стоят у нас на пути."
A03:CARVILLE12|ГЕН.КАРВИЛЬ: "Держитесь от них подальше. Мы еще можем привести их в чувства."
A03:CARVILLE13|ГЕН.КАРВИЛЬ: "Черт побери, мы могли спасти этих парней.\nОт перестрелки нас с ними выигрывают только Советы..."
A03:CARVILLE14|ГЕН.КАРВИЛЬ: "Командир, у нас есть хорошие и плохие новости."
A03:CARVILLE15|ГЕН.КАРВИЛЬ: "Плохие новости: Авиабазы Эндрюс и Лэнгли уничтожены.\nМы потеряли превосходство в воздухе."
A03:CARVILLE16A|ГЕН.КАРВИЛЬ: "И Советы разбомбили их с этой проклятой авиабазы прямо на Капитолийском холме!
A03:CARVILLE16B|ПРЯМО НАПРОТИВ НАШЕГО ЗДАНИЯ КАПИТОЛИЯ!"
A03:CARVILLE17|ГЕН.КАРВИЛЬ: "Хорошая новость в том, что у нас есть возможность\nуничтожить её поскольку это не далеко отсюда."
A03:CARVILLE18|ГЕН.КАРВИЛЬ: "Отрежьте этим комми крылышки прежде чем они вбомбят нас прямо в ад!"
A03:CARVILLE19|ГЕН.КАРВИЛЬ: "Вот он источник всего этого дерьма! Убрать его и все вернется на круги своя!"
A03:CARVILLE2|ГЕН.КАРВИЛЬ: "Половина Вашингтона замолчало за ночь,\nкаким-то образом здесь оказалась полноценная советская база, а наши люди-"
A03:CARVILLE20|ГЕН.КАРВИЛЬ: "Командир, у нас проблемы."
A03:CARVILLE21A|ГЕН.КАРВИЛЬ: "Президент жив, приветствует Советов прямо на лужайке Белого Дома, на которой к тому же
A03:CARVILLE21B|сооружена целая советская база! И это в прямом эфире на транслируется по всей стране!"
A03:CARVILLE22|ГЕН.КАРВИЛЬ: "И он свеж как огурчик! Никаких признаков принуждения!"
A03:CARVILLE23|ГЕН.КАРВИЛЬ: "Это было именно то - чего мы НЕ хотели бы показывать всей стране или миру!"
A03:CARVILLE24|ГЕН.КАРВИЛЬ: "Должно быть комми испугались того что мы приближаемся к источнику всего этого бардака..."
A03:CARVILLE25|ГЕН.КАРВИЛЬ: "Но черт возьми, это все еще приказ президента. Боевой дух наших парней как ветром сдует!"
A03:CARVILLE26|ГЕН.КАРВИЛЬ: "Уничтожьте это Сооружение как можно скорее! Или нам всем конец!"
A03:CARVILLE27|ГЕН.КАРВИЛЬ: "Черт возьми! Наши люди освобождены от этого, и весь город встает в нашу поддержку!"
A03:CARVILLE28|ГЕН.КАРВИЛЬ: "Живее Командир! Президент не в безопасности пока мы не позаботимся о красных!"
A03:CARVILLE3|ГЕН.КАРВИЛЬ: "Что за чертовщина здесь творится? Наше воздушное пространство уже под угрозой!?"
A03:CARVILLE4|ГЕН.КАРВИЛЬ: "Но базы Эндрюс и Лэнгли несколько часов обеспечивали нашу безопасность!"
A03:CARVILLE5|ГЕН.КАРВИЛЬ: "Без поддержки с воздуха мы не можем удерживать столицу,\nа сейчас наши Авиабазы не отвечают"
A03:CARVILLE6|ГЕН.КАРВИЛЬ: "Мы будем пытаться связаться с ними снова, но нам следует ожидать худшего"
A03:CARVILLE7|ГЕН.КАРВИЛЬ: "Если это то о чем мы думаем, то нам возможно придется покинуть Вашингтон…\nЧертовы комми!"
A03:CARVILLE8|ГЕН.КАРВИЛЬ: "Разберите весь этот бардак поскорее Командир!\nМы должны покончить с этим как можно раньше!"
A03:CARVILLE9|ГЕН.КАРВИЛЬ: "Похоже что эти парни из Конфедерации так и не выучили урока\nчто я преподал им у южной границы..."\n
A03:CARVILLEEND|ГЕН.КАРВИЛЬ: "Чертовски впечатляюще Командир.\nПрезидент в безопасности, а город снова под нашим контролем!"
A03:CARVILLEEND1|ГЕН.КАРВИЛЬ: "Советы каким-то образом захватили базу Эндрюс\nи использовали её чтобы пробраться в столицу."
A03:CARVILLEEND1.1|"Мы отбили Эндрюс, и он еще достаточно цел чтобы эвакуировать Президента"
A03:CARVILLEEND2|ГЕН.КАРВИЛЬ: "Мы также заполучили останки Сооружения и\nпоняли каким образом комми дурили всем головы."
A03:CARVILLEEND3|ГЕН.КАРВИЛЬ: "Я уверяю вас у них в планах использовать эту штуку\nснова но в следующий раз уже по всей территории США!"
A03:CARVILLEEND4|ГЕН.КАРВИЛЬ: "Мы не можем этого допустить!"
A03:DESTROY_THE_BEACON|Задача 2: Уничтожить Неизвестное Сооружение.
A03:DESTROY_THE_RUSSIANS|Задача 3: Ликвидировать все советские войска в районе.
A03:DESTROYERS_DESTROYED|Бесполезно. Множество субмарин патрулирует местные воды.\nМы не можем продолжать терпеть потери.
A03:DUGAN|ПРЕЗИДЕНТ ДУГАН: "Всем Американским силам которые все еще сражаются, говорит Президент Дуган"
A03:DUGAN1|ПРЕЗИДЕНТ ДУГАН: "Как ваш главнокомандующий,\nя приказываю вам немедленно прекратить сопротивление! Война окончена!"
A03:DUGAN2|ПРЕЗИДЕНТ ДУГАН: "Сегодня все мы молодые или старые\nприсягнем на верность нашему новому лидеру - премьеру Романову!"
A03:EA_DESTROYED|Наши люди попавшие под воздействие раннее пали.\nИх героическая смерть во благо страны не будет забыта.
A03:EA_FREED|Близлежащий аванпост был освобожден. Теперь они с нами на одной стороне.
A03:ENEMIES_DESTROYED|Задание Выполнено. Советские войска в Вашингтоне ликвидированы.
A03:FIND_THE_SOURCE|Задача 1: Понять что происходит в Вашингтоне.
A03:FOXTROTS|ВНИМАНИЕ - Советские Фокстроты! Они притащили сюда свою авиацию!
A03:IFV_INTRO|БМП Страйкер обеспечивает несколько конфигураций вооружения в зависимости от
A03:IFV_INTRO2|от пехотного подразделения, которое его занимает.
A03:INTRO|У нас чрезвычайная ситуация в Вашингтоне - Белый Дом не отвечает, пока советские корабли свободно
A03:INTRO2|передвигаются по реке Потомак, они каким-то образом пробрались в столицу не подняв тревогу.
A03:INTRO3|Генерал Карвиль инициировал блокаду города до разрешения ситуации.
A03:INTRO4|Жизнь Президента и будущее нашей страны может зависеть от нас. Нам нужно разобраться в происходящем.
A03:LATINS|Похоже что Конфедерация также здесь. Советы используют их в качестве пушечного мяса...
A03:MAYBE_BUILD_GAAIRC|Сооружение Штаба ВВС поможет нам в разведке местности.
A03:MONUMENTS|Несколько памятников здесь в Вашингтоне были серьезно повреждены. Инженер может заняться их ремонтом.\n
A03:MONUMENTS_DESTROYED|Зачем вы это сделали?
A03:NAME_BEACON|Неизвестное Сооружение
A03:NAME_HUMVEE|Хамви
A03:NAVY_BATTLE|Наш флот попробует произвести разведку местности вдоль Потомака.
A03:NOTLATIN|По некой причине, этот завод Конфедерации теперь производит только российскую технику.
A03:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
A03:POWERTURBINE|Теперь вы можете улучшать Электростанции с помощью Турбин - увеличивая выходную мощность.
A03:PRESIDENT|У нас есть прямое подтверждение того, что Президент освобожден от этого аномального воздействия.
A03:PRESIDENT_LEAVING|Хорошие новости Командир. Президент больше не СССР.
A03:PRESIDENT_LEAVING2|Он будет эвакуирован в засекреченное место.
A03:PRESIDENT_LEAVING3|Эта новая советская технология полностью меняет правила игры.\n
A03:PRESIDENT_LEAVING4|Это может стать для нас началом конца. Мы должны быть готовы к худшему.
A03:PRESIDENT2|Президент не будет в безопасности пока мы не устраним угрозу со стороны Советских войск.
A03:PRESIDENTFREE|ПРЕЗИДЕНТ ДУГАН: "Я не буду этого терпеть и дальше, Генерал Карвиль! Я инициирую..."
A03:PRESIDENTFREE1|ПРЕЗИДЕНТ ДУГАН: "Оох, мама... Что, черт возьми произошло...?"
A03:PRESIDENTTHANK1|ПРЕЗИДЕНТ ДУГАН: "Я до сих пор не совсем понимаю, что произошло, но слышал что вы тот
A03:PRESIDENTTHANK1.1|кто спас меня Командир. Я бесконечно благодарен вам за это."
A03:PRESIDENTTHANK2|ПРЕЗИДЕНТ ДУГАН: "Берегите себя Командир! Такие люди как вы нужны нам чтобы закончить эту войну."\n
A03:PRESIDENTTHANK3|ПРЕЗИДЕНТ ДУГАН: "И напомните мне наградить вас медалями после того как все закончится!"
A03:REPAIRED_ALL|Поздравляем Командир, всем памятникам в Вашингтоне возвращена былая слава!
A03:REPAIRED_JEFFERSON|Мемориал Джефферсона был восстановлен в своем былом величии.
A03:REPAIRED_LINCOLN|Мемориал Линкольна был восстановлен в своей прежней красоте.
A03:REPAIRED_SMITHCASTLE|Смитсоновский Замок был восстановлен в своей прежней элегантности.
A03:REPAIRED_SMITHMUSEUM|Смитсоновский музей был восстановлен в своей былой славе.
A03:REPAIRED_WASHINGTON|Монумент Вашингтона был восстановлен в своем былом великолепии.
A03:TECH_HOSPITAL|СОВЕТ - Захватите этот Госпиталь чтобы получать пассивное лечение для своих пехотинцев
A03:UNIDENTIFIEDSTRUCTURE|Наша разведка полагает что Советы направили наших людей против нас с помощью странного устройства.
A03:WHITE_HOUSE|Похоже Советы полностью контролируют местность вокруг Белого Дома.
A03:WHITE_HOUSE_DESTROYED|Белый дом был уничтожен - МИССИЯ ПРОВАЛЕНА
A04:AMPLIFIER_ACTIVATED|Сооружение активировано - СЛАВА СОВЕТСКОМУ СОЮЗУ!
A04:AMPLIFIER_CAPTURED|Задание Выполнено. Неизвестное Сооружение находится под нашим контролем.
A04:AMPLIFIER_DESTROYED|Мы потеряли Неизвестное Сооружение - МИССИЯ ПРОВАЛЕНА
A04:AMPLIFIER_NAME|Неизвестное Сооружение
A04:AMPLIFIER_TIMER|Наши войска попадут под контроль разума:
A04:AMPSPEAK1|ИНЖЕНЕР: "Мы взяли это здание под контроль. Выгружаем все доступные данные,\nпо мере того как это говорим."
A04:AMPSPEAK2|ИНЖЕНЕР: "Мне нужна только еще одна минута..."
A04:AMPSPEAK3|ИНЖЕНЕР: "Все готово. Все было отправлено."
A04:BASE_IS_YOURS|Успех! Наши войска были освобождены. Вы снова полностью контролируете базу.
A04:BEACON_DESTROYED|Почему ты жульничаешь, приятель?
A04:BEACON_IS_THERE|Пси-Маяк близко. Мы пришлем инженера, как только вы ликвидируете советские войска.
A04:BEACON_POWERUP|ВНИМАНИЕ - Пси-Маяк набирает мощность! Волна контроля разума неминуема!
A04:CARRIER|Авианосцы Энтерпрайз - несут БПЛА способные атаковать на большие расстояния. Это просто великолепно.
A04:DATA_STEALING|Данные о психических исследованиях будут получены через:
A04:DEFEND_AMPLIFIER|Задача: Защитите Неизвестное Сооружение.
A04:DESTROY_THE_BEACON|Задача: Уничтожить Пси-Маяк.
A04:DESTROY_THE_BEACON2|Времени на его взятие нет. Уничтожьте его, прежде чем он подчинит себе наши силы!
A04:DESTROYER|Эсминцы типа Горизонт могут выслеживать подводные лодки с помощью гидролокаторов и\nконвертопланов - Оспрей.
A04:GAAIRC_SCAN|Оборудование для Спутникового Сканирования наконец было установлено в штаб ВВС.
A04:MC1|Как мы не могли этого предвидеть? Это с самого начала была ловушка?
A04:MC2|Переоценка ситуации...
A04:MC3|Мощность излучения этого маяка значительно превышает ту, что наблюдалась в Вашингтоне.
A04:MC4|Оно продолжает расти, но сам маяк не является его источником.
A04:MC5|Совершенно другое строение из другого места в городе усиливает его излучение.
A04:MC6|По нашей теории, если оно выйдет на полную мощность, то сможет сделать то же самое,\n
A04:MC6A|что пси-маяк сделал с Вашингтоном но в масштабах всей страны.
A04:MC7|Мы на пороге уничтожения, командир. То, что должно было быть обычным
A04:MC7A|заданием, может стать концом всего свободного мира...
A04:MC8|Мы можем лишь предположить, что уничтожение маяка даст нам достаточно времени для нанесения удара.
A04:MIDAS_INCOMING|ВНИМАНИЕ - Обнаружен запуск ракеты MIDAS! Немедленно эвакуируйтесь из города!
A04:NAME_RIOT|Сержант Шепард
A04:NEUTRAL|СОВЕТ - В восточной части города есть несколько полезных инженерных построек.
A04:NOTPSICORPS|Вражеская пехота
A04:OBJ1|Задача 1: Устранить оборону берега и построить базу.
A04:OBJ1C|Задание Выполнено. МСЦ в пути.
A04:OBJ2|Задача 2: Устранить оборону вокруг пси-маяка.
A04:OBJ3|Задача: Уничтожить пси-маяк.
A04:OBJ4|Задача: Захватить Неизвестное Сооружение.
A04:P3A|Советская база в состоянии полной боевой готовности. Они собираются нас уничтожить!
A04:P3B|Даже без воздействия маяка, это все равно вопрос времени, когда более крупная постройка подчинит
A04:P3C|нас всех. Мы не позволим этому произойти.
A04:P3D|Мы ударим по ним всем, что у нас есть! Все ближайшие подразделения движутся к Чикаго вам на помощь!
A04:P3E|Наши лучшие агенты прилагают максимум усилий - чтобы назвать\nпримерное время когда мы окажемся под его контролем.
A04:P3F|Возможно, нам не удалось захватить пси-маяк, но это гораздо более ценный приз.
A04:P3G|Нам все еще нужно изучить эту технологию. Захватите это любой ценой, Командир.
A04:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
A04:PSITROOPS3INTRO|Осторожно! По данным разведки, эти бойцы способны на то же что и пси-маяк, хоть и в меньшем масштабе.
A04:RIOT_EPILOGUE|СЕРЖ. ШЕПАРД: "...Мне нужно выпить..."
A04:RIOTSPEAK1|СЕРЖ. ШЕПАРД: "Голоса... в голове..."
A04:RIOTSPEAK2|СЕРЖ. ШЕПАРД: "Если они хотят получить частичку моего разума, они могли бы просто попросить"
A04:RIOTSPEAK3|СЕРЖ. ШЕПАРД: "Они хотят эту штуку так же сильно, как и мы. Не давайте им шанса!"
A04:SHEPHERD_DEAD|Сержант Шепард убит - МИССИЯ ПРОВАЛЕНА
A04:SHEPHERD_IS_HERE|Сержант Шепард прибыл, чтобы оказать вам содействие. Он должен уцелеть.
A04:SHOW_ARTY_BUNKERS|Для того чтобы высадить наши войска, эти береговые укрепления должны быть ликвидированы.
A04:SHOW_BEACON|Советский пси-маяк находится в пределах досягаемости. Сначала нам нужно расчистить путь к нему.
A04:SHOW_RUS2_MINIBASE|После высадки МСЦ соорудит для вас базу, пока вы будете разбираться с советскими войсками в этом районе.
A04:STRATOFORTRESS|Это наш последний шанс. Стратофортресс, который вы нашли на авиабазе в Колорадо-Спрингс
A04:STRATOFORTRESS_ACTIVATED|ВНИМАНИЕ - Стратофортресс появился на поле боя!
A04:STRATOFORTRESS1A|был подготовлен к работе несколько часов назад и готов к полету.
A04:STRATOFORTRESS2|Бортовой автопилот с искусственным интеллектом будут гарантом того, что он не поддастся контролю разума.
A04:STRATOFORTRESS3|Вся наша страна зависит от вас. Сделайте то, что необходимо сделать.
A04:VLAD1|???: " Это принадлежит не вам."
A04:VLAD2|Наши шифрованные каналы связи были взломаны!? Назовите себя!
A04:VLAD3|ГЕН. ВЛАДИМИР: "Кажется, ваши амбиции привели к незначительному просчету."
A04:VLAD4|ГЕН. ВЛАДИМИР: "Узрите силу... матушки России!"
A04:WE_HAVE_LOST|Все наши войска, развернутые в Чикаго и его окрестностях, попали под контроль разума.
A05:ALARMOFF|ПОДСКАЗКА - После отключения связи Волкодавы больше не могут поднять тревогу.
A05:BRIEF:01|Зона высадки свободна. Теперь наши шпионы могут безопасно высадиться.
A05:BRIEF:02|Прежде чем продолжить, мы должны проникнуть на эту Радарную Вышку,\nотслеживать передвижения Волкодавов.
A05:BRIEF:03|Нам нужно проникнуть в этот Дворец, чтобы получить координаты Тактических Ядерных Шахт.
A05:BRIEF:04|Охрана в этом районе очень серьезная. Для начала мы должны нарушить их коммуникации.
A05:BRIEF:05|Нам нужно проникнуть в эти две Радарные Вышки, чтобы предотвратить любую попытку поднять тревогу.
A05:BRIEF:06|Как только связь будет нарушена а Шахты будут обнаружены, европейцы пришлют
A05:BRIEF:06B|отряд, который прибудет на захваченной Советской технике.
A05:BRIEF:07|ТАНЯ: "Нам нужно было доставить больше шпионов для этого задания..."
A05:BRIEF:08|Их связь нарушена. Пришло время проникнуть во Дворец, чтобы найти Шахты.
A05:BRIEF:09|Скоро к нам присоединится отряд бойцов Евросоюза. Колонна угнанных советских машин уже в пути.
A05:BRIEF:10|Колонна европейцев скоро должна пересечь границу. Советы не должны ничего заподозрить.
A05:BRIEF:11|Наши Европейские союзники прибыли.
A05:COWS|Молодчина, командир! Вы освободили коров. Коровья армия восстала!
A05:DRIVER:01|ТЕХНИК: " Да где же я оставил свою машину..."
A05:EGG:HINT|ТАНЯ: "Путь преградил оползень. Чтобы пройти, нам понадобится соответствующее снаряжение...".
