LOADMSG:FASHES|Операция: Пепел, Место: Казахстан
FBOUND:OBJ01|Задача 1: Захватить Атомный Реактор.
FBOUND:01|- Кашмир, 4 Января 1986 -
FBOUND:02|Согласно нашей разведке, силы Эпсилон что-то нашли здесь.
FBOUND:03|После предварительной разведки мы предположили, что они нашли.
FBOUND:04|Мы должны поторопиться. Должно быть, они крадут наши утерянные технологии.
FBOUND:05|Есть два пути, ведущие к Атомному Реактору. Мы должны сделать выбор.
FBOUND:06|Кажется, что этот путь менее опасен.
FBOUND:07|ВНИМАНИЕ - Враг приближается со спины!
FBOUND:08|Это говорит о том, что Эпсилон прознали о нашем существовании ...
FBOUND:09|Ремонтный Дрон прибыл.
FBOUND:10|В этой шахте спрятаны некоторые наши силы.
FBOUND:11|ВНИМАНИЕ - Обнаружена Пси-Башня!
FBOUND:12|Может быть, мы сможем использовать этого диверсанта, чтобы проникнуть во вражеские электростанции.
FBOUND:13|ВНИМАНИЕ - Впереди минное поле!
FBOUND:14|Похоже, что взрыв MIDAS'а не оставил слишком большого влияния на окружающую среду.
FBOUND:15|Наши силы прибыли.
FBOUND:16|Враг возле Атомного Реактора был уничтожен.
FBOUND:17|Атомный Реактор был уничтожен. МИССИЯ ПРОВАЛЕНА.
FBOUND:18|Все наши транспортные амфибии уничтожены. МИССИЯ ПРОВАЛЕНА.
FBOUND:19|ВНИМАНИЕ - Вражеские ВВС приближаются к этой области!
FBOUND:OBJ02|Задача 2: Защитить Атомный Реактор, пока работа не будет завершена.
FBOUND:20|Есть еще некоторая информация, полезная для нас в Атомном Реакторе.
FBOUND:T1|Время до завершения удаления информации:
FBOUND:21|Мы должны помешать силам Эпсилон получить наши технологии.
FBOUND:22|Цель выполнена. Необходимая информация была передана.
FBOUND:23|Силы Эпсилон не могут получить информации о нас из этого Атомного Реактора.
FBOUND:X|Основная противовоздушная защита противника ослабла. Мы можем отправить "Предвестника Бури".
FBOUND:24|Это все войска, которые мы можем использовать в этой области.
FBOUND:NAME1|Пехотные Подкрепления
FBOUND:NAME2|Бронированные Подкрепления
FBOUND:25|ВНИМАНИЕ - Эпсилон пытается остановить нас, не жалея сил!
BRIEF:FBOUND|Прошел почти год с тех пор, как запустили Сумасшедшую Станцию Юрия по контролю над разумом. Благодаря Юнру и Рашиди с его Ячейкой Скорпион, Восстание Фоэн нашли способ уклониться от волны контроля над разумом прямо перед ее активацией. Теперь нам пора начать контрнаступление. После длительного периода оценки ситуации лидер наконец принял решение нанести удар по Кашмиру. Наша разведка показывает, что силы Эпсилон совершили несколько необычных движений. Команда была отправлена на разведку, но каков результат, пока неизвестно. Единственное, что можно утверждать, это то, что Эпсилон никогда не действует в наших интересах. Если произойдет худший сценарий развития ситуации, то у нас не будет больше выбора.\n\nЗадача 1: Захватить Атомный Реактор.\nЗадача 2: Ожидайте дальнейших инструкций.
POST:FBOUND|Мы были на волоске. Но, к счастью, мы преодолели это. Хотя технологию Железного Дракона можно найти и возобновить, мы прервали план Эпсилона ... прямо сейчас.
LOADMSG:FBOUND|Операция: Граница, Место: Кашмир
LOADBRIEF:FBOUND|Задача 1: Захватить Атомный Реактор.\nЗадача 2: Ожидайте дальнейших инструкций.
MAP:FBOUND|Фанатская Миссия: Граница
LOADMSG:FDBM|Операция: Предрассветная Тьма, Место: На границе Кашмира с Китаем
BRIEF:FDBM|После того, как боеголовка MIDAS взорвалась, Юнру начала тайную операцию, чтобы обойти большую линию обороны противника, нам пришлось временно отправится на север. Это последняя и самая большая вражеская база на пути.\n\nЗадача 1: Проникнуть в 3 Радара врага.\nЗадача 2: Сопроводить Юнру на горы Севера.\nЗадача 3: Уничтожить все вражеские силы в этом районе.\nЗадача 4: Юнру не должна погибнуть.
LOADBRIEF:FDBM|Задача 1: Проникнуть в 3 Радара врага.\nЗадача 2: Сопроводить Юнру на горы Севера.\nЗадача 3: Уничтожить все вражеские силы в этом районе.\nЗадача 4: Юнру не должна погибнуть.
FDBM:BATTLEON|- Соединение с полем боя -
FDBM:YUANJUN|Подкрепление прибыло.
FDBM:YUNRUD|Ваши действия привели к смерти Юнру! МИССИЯ ПРОВАЛЕНА.
FDBM:Y1KAI|Через неделю после взрыва в Кашмире боеголовок "MIDAS".
FDBM:RADER|Сначала мы должны проникнуть в эти Радары, чтобы скрыть наше место нахождения.
FDBM:YUNRU1|Юнру лично прибыла на поле битвы.
FDBM:TIEQI|Это модифицированный солдат, он называется «Рыцарь», используйте его.
FDBM:RADERSHEN|Проникновение в систему Радара осуществлено, связь с радиолокатором прервана.
FDBM:YUNRUCHE|Юнру благополучно эвакуировалась.
FDBM:Y1SHENGLI|Очень хорошо, наша миссия выполнена, Юнру будет довольна.
FDBM:Y1TISHI1|ВНИМАНИЕ: Не уничтожайте здания врага, до проникновения во все Радары. Иначе нас обнаружат!
FDBM:Y1CAIDANF1|Посмотрите, что мы нашли, заброшенный МСЦ! Это поможет нам ... что... Буровая машина?
FDBM:Y1CAIDANF2|Здесь есть Секретная Лаборатория. Пусть наши Инженеры займут ее и посмотрят, что есть внутри.
FDBM:Y1CAIDAN|Хм ... чертежи? Это должно быть очень полезно для нас, вы можете построить это сейчас.
FDBM:RSHENF|Все радары отключены, спутниковая связь противника была прервана.
FDBM:Y1MUB1|Задача 1: Проникнуть в 3 Радара врага.
FDBM:Y1MUB2|Задача 2: Сопроводить Юнру на горы Севера.\n
FDBM:Y1MUB3|Задача 3: Уничтожить все вражеские силы в этом районе.
MAP:FDBM|Фанатская Миссия - Предрассветная Тьма
POST:FDBM|...
BRIEF:FNANO|Сообщение от фракции Крыльев Коронии:\nСледственный отдел постоянно исследует каждый уголок земли, чтобы расширить возможности ИИ. Недавно «мы» нашли старую базу на искусственном острове в Тихом океане. После анализа оказалось, что база связана с первоначальными исследованиями Лидера в области нанотехнологий, которые до сих пор хранят информацию о «нас». К сожалению, база была заброшена во время битвы с силами Эпсилон, теперь она занята войсками Пси-Корпуса и оборудование на базе было перезапущено. «Мы» полагаем, что силы Эпсилон попытаются изучить нанотехнологию на базе. Они, скорее всего, попытаются разработать контр-оружие, воздействие которого будет губительным для «нас».\nСообщение от фракции Головы Акулы:\n«Мы» должны уничтожить две Наноцентрифуги на базе, которая является ядром «нашей» нанотехнологии. После того, как они будут уничтожена, Эпсилон не сможет получить исследовательские данные от оставшихся объектов на базе. Из-за локальной помехоустойчивости базы нам сложно быстро начать крупномасштабные атаки и необдуманные действия могут привести к нежелательным последствиям. После оценки отдел анализа разработал стратегию использования "Дубликаторов" для скрытой операции.\n\nЗадача 1: Найти путь до Наноцентрифуг.\nЗадача 2: Проникнуть в две Наноцентрифуги.\nПримечание: Все Дубликаторы и полученные Провидцы не должны быть потеряны.
LOADBRIEF:FNANO|Задача 1: Найти путь до Наноцентрифуг.\nЗадача 2: Проникнуть в две Наноцентрифуги.\nПримечание: Все Дубликаторы и полученные Провидцы не должны быть потеряны.
LOADMSG:FNANO|Операция: Нанофибровый Осадок, Место: Морская база Нанотехнологий, Тихий океан
POST:FNANO|План расшифровки «наших» технологий силами Эпсилон провалился, у них осталась лишь куча металлолома, который бесполезен. «Мы» всегда должны защищать свои собственные технологии и не позволять врагу овладеть ими.
FNANO:01|Задача: Проникнуть в две Наноцентрифуги.
FNANO:02|«Мы» нашли место, где воздушно-десантные войска могли бы быть безопасно десантированы недалеко от центрифуги...
FNANO:03|... но между посадочной площадкой и центрифугой имеется сильная защита, «мы» должны найти другой способ войти.
FNANO:04|«Мы» вторглись в ядро сети, чтобы получить навыки поддержки.
FNANO:05|После оценки задачи миссии «мы» подумали, что Провидцев достаточно для ее завершения.
FNANO:06|Предупреждение: Обнаружен Генератор акустических волн, используйте "Отключение" чтобы выключить его.
FNANO:07|Внимание: Обнаружен Генератор акустических волн.
FNANO:08|«Мы» послали Провидцев как подкрепление, они приземляться на севере базы.
FNANO:09|Предупреждение: Установки Гатлинг обнаружены, их рекомендуется избегать.
FNANO:10|Не теряйте Провидцев, иначе задача будет провалена!
FNANO:11|Позвольте Провидцу проникнуть в эти Уловители, чтобы отключить питание всей базы.
FNANO:12|«Мы» нашли способ уничтожить Центрифуги. Пусть Провидец проникнет в Центрифугу для ее самоуничтожения.
FNANO:13|Центрифуга была разрушена и силы Эпсилон больше не смогут получить «нашу» технологию.
FNANO:14|Провидцы потеряны, «мы» должны пересмотреть сложность задачи. МИССИЯ ПРОВАЛЕНА.
FNANO:15|Установление связи с ядром и запуск программы самоуничтожения центрифуги ...
MAP:FNANO|Фанатская Миссия - Нановфибровый Осадок
BRIEF:FSALLY|Силы Эпсилон осознал наше существование «мы» и полагается на свой контроль разума, чтобы контролировать ход битвы и устранить «нас». Передовые силы Рашиди первоначально пытались связаться с Ячейкой Скорпион и другими союзниками в Европе, но «мы» потеряли с ними связь, а затем "Канагава Индастриз" и фракция Последнего Бастиона также были окружены силами Эпсилон.\nСитуация кризисная и «мы» только что связались с китайской базой, на которую не повлиял контроль сознания. Они сообщили нам, что в этой области могут находиться другие контролируемые Пси-Корпусом советские или союзные силы. «У нас нет никакого способа вывести эти войска из-под контроля Вавилонской башни и они могут быть только устранены.\n\nЗадача 1: Установить связь и спасти базы трех союзников.\nЗадача 2: Уничтожить всех врагов в этом районе.
LOADBRIEF:FSALLY|Задача 1: Установить связь и спасти базы трех союзников.\nЗадача 2: Уничтожить всех врагов в этом районе.
LOADMSG:FSALLY|Операция: Прорыв и Спасение, Место: Франция, горы возле Лиможа
POST:FSALLY|«Мы» успешно спасли и эвакуировали героев Рашиди и Повстанцев. Последняя информация показывает, что Эпсилон реорганизует войска и начинает атаку на «Последний Бастион». Ситуация не оптимистичная. В то же время было подтверждено, что ракетный комплекс Эпсилон в Европе был закрыт.
FSALLY:00|- Подключение к сети -
FSALLY:01|- Передача завершена -
FSALLY:02|Войска Фоэн противостоят Эпсилон. Их технология иллюзии делает невозможным для нас определить их позицию.
FSALLY:04|«Мы» подтвердили положение войск Тихоокеанского Фронта и героев Фоэн. Они противостоят атаке сил Эпсилон.
FSALLY:05|Чтобы поддерживать связь, Радар не должен быть уничтожен, пока спасение не будет завершено.
FSALLY:06|Но «мы» потеряли связь с войсками Рашиди, но в последний раз они были в этом месте. Свяжитесь с ними скорее.
FSALLY:07|Неподалеку находится большое количество войск Эпсилон и подконтрольных Советов, спасите их скорее.
FSALLY:08|В этих двух местах почти нет защитников, но это может быть ловушкой, ведь наш враг любит ставить ловушки.
FSALLY:09|Герои Фоэн были спасены и они присоединятся к нам, чтобы сражаться.
FSALLY:10|Силы Тихоокеанского Фронта были спасены и они готовы присоединятся к нам в бою.
FSALLY:11|Силы Ячейки Скорпион были спасены и они готовы сражаться с нами плечом к плечу.
FSALLY:12|Подкрепление, отправленное «Последним Бастионом», успешно прорвалось. Используйте МСЦ.
FSALLY:13|Было подтверждено, что подразделение Штаба Эпсилон было ликвидировано.
FSALLY:14|Было подтверждено, что подразделение Пси-Корпуса было ликвидировано.
FSALLY:15|Союзные силы, которые были подвержены контролю разума, были уничтожены.
FSALLY:16|Было подтверждено, что советские войска, контролируемые разумом, были ликвидированы.
FSALLY:17|Лидер направил поздравительное послание и дал указание о создании новой базы Фоэн в этом районе.
FSALLY:18|Рашиди: "Не стреляйте! Мы свои!"
FSALLY:19|Рашиди: "Вы наконец-то здесь. Я просто отключил связь, когда нашел партизан."
FSALLY:20|Рашиди: "Дальше я буду вести бой с Юрием вместе с вами!"
FSALLY:21|Что здесь делает Центр Пандоры? Совет: Захватите Центр Пандоры, чтобы восстановить технологию Ячейки Скорпион.
FSALLY:22|Ядерная Установка Эпсилон была дезактивирована, как и на Аляске.
FSALLY:03|«Мы» послали элитных солдат, чтобы получить информацию, но они попали в ловушку сил Эпсилон.
FSALLY:23|Рашиди был серьезно ранен и «мы» эвакуировали его с поля битвы.
FSALLY:24|Малвер был серьезно ранен и «мы» эвакуировали его с поля битвы.
FSALLY:25|Фин был серьезно ранен и «мы» эвакуировали его с поля битвы.
FSALLY:26|Ализ была серьезно ранена и «мы» эвакуировали ее с поля битвы.
FSALLY:27|Эврика была серьезно ранена и «мы» эвакуировали ее с поля битвы.
FSALLY:28|Ураган был серьезно ранен и «мы» эвакуировали его с поля битвы.
MAP:FSALLY|Фанатская Миссия - Прорыв и Спасение
LOADBRIEF:FSECSIG|Задача 1: Защищать Рашиди, пока не будет восстановлена технология контроля погоды.\nЗадача 2: Следуйте указаниям миссии.
LOADMSG:FSECSIG|Операция: Секретный Сигнал, Место: США, Виргинские острова
POST:FSECSIG|Рашиди: «Мы успешно отразили атаку «Эпсилон» и распространили нейротоксины среди повстанцев и дружественных сил. Я верю, что в ближайшем будущем эти войска и этот район станут основной силой сопротивления. Я поеду на Аляску с остальными нейротоксинами, чтобы встретиться с Юнру».
BRIEF:FSECSIG|Под прикрытием VOLKNET Юнру успешно покинула контролируемую Китаем территорию и направляется на Аляску. В это время ее близкий друг послал ей таинственный сигнал, похоже что лидер, потерпевший большое поражение в Бисау, попал в беду на Виргинских островах ...\n\nЗадача 1: Защищать Рашиди, пока не будет восстановлена технология контроля погоды.\nЗадача 2: Следуйте указаниям миссии.
FSECSIG:01|.. -....- -. . . -.. -....- .... . .-.. .--.
FSECSIG:02|Осторожно! Обнаружен зашифрованный сигнал, происходит расшифровка...
FSECSIG:03|Это сигнал бедствия от Рашиди ... Подключение ...
FSECSIG:04|Рашиди: «Подключение к VOLKNET...».
FSECSIG:05|Рашиди: «Я подключился к вашему спутнику через этот Аэродром».
FSECSIG:06|Рашиди: «Ваш лидер надеется, что я смогу принести некоторые технологии, когда приеду на Берингово море».
FSECSIG:07|Рашиди: «С тех пор, как армия США захватила этот район, армия Эпсилон атаковала этот район, а мы вмешались».
FSECSIG:08|Рашиди: «Согласно разведданным, после ликвидации 2 МСЦ союзников, они отправят 2 МСЦ для создания баз».
FSECSIG:09|Рашиди: «Мне нужно построить передовую базу, и МСЦ - это все, что мне нужно».
FSECSIG:11|Рашиди: «К сожалению, мои командирские способности слабы, мне нужна ваша помощь.».
FSECSIG:12|—— Соединение с полем боя ——
FSECSIG:13|Рашиди: «Защитите Аэродром и сохраните электроснабжение, прежде всего.».
FSECSIG:14|Рашиди: «Наши Угонщики захватили часть флота Эпсилон».
FSECSIG:15|Рашиди: «Это 2 моих последних Дрона, нуждающихся в обслуживании. Пожалуйста, берегите их».
FSECSIG:16|Рушди: «Защити эти подлодки Эпсилон, чтобы атаковать подводные лодки. Без них мы не сможем продвигаться.»
FSECSIG:17|Предупреждение: В этой области находится много кораблей союзников. Не атакуйте, если вы не уверены.
FSECSIG:18|Рашиди: «Мной был разработан новый токсинный пистолет, и он мне здесь пригодится».
FSECSIG:21|Рашиди: «Похоже, здесь есть оставленная техника. Возможно, мы сможем использовать ее».
FSECSIG:22|Рашиди: «Здесь кто-то спрятал припасы. Это нам поможет».
FSECSIG:23|Под водой была обнаружена брошенная подводная лодка "Акула".
FSECSIG:24|Рашиди: «У меня все еще есть китайское вооружение. Может быть, вы используете его лучше».
FSECSIG:25|Не хватает энергии! Невозможно поддерживать связь!
FSECSIG:27|Рашиди погиб. МИССИЯ ПРОВАЛЕНА.
FSECSIG:29|Наше общение с Рашиди прервано. МИССИЯ ПРОВАЛЕНА.
FSECSIG:26|У нас нет здания связи! Связь вот-вот будет прервана!
FSECSIG:30|Рашиди: «Согласно перехваченной информации, цель Эпсилон - уничтожить флот, доки и артиллерию союзников».
FSECSIG:31|Рашиди: «Чтобы они могли безопасно послать наземные войска для прикрытия МСЦ».
FSECSIG:32|Задача: Уничтожить военно-морской флот союзников, уничтожить Доки союзного флота и орудия береговой обороны.
FSECSIG:33|Предупреждение: Силы Эпсилон атакуют одну из баз!
FSECSIG:34|Рашиди: «Похоже, они выбрали более прямой подход - они напрямую контролируют эту базу!»
FSECSIG:35|Все военно-морские подразделения и Доки союзников разрушены.
FSECSIG:36|Вся союзная артиллерия береговой обороны уничтожена.
FSECSIG:37|Все силы союзников уничтожены, и вот-вот должна прибыть МСЦ Эпсилон.
FSECSIG:38|Рашди: «Как только МСЦ Эпсилон будет захвачен, силы Эпсилон найдут нас! Так что, примите защитные меры».
FSECSIG:39|Рашиди: «Не атакуйте армию Эпсилон! Иначе они найдут нас раньше чем нужно!»
FSECSIG:19|Инженер скоро будет здесь, пожалуйста, обратите внимание.
FSECSIG:41|Нас нашли! Готовьтесь защищаться!
FSECSIG:42|Мы захватили Пси-Маяк, нас раскрыли. МИССИЯ ПРОВАЛЕНА.
FSECSIG:43|МСЦ был уничтожен. МИССИЯ ПРОВАЛЕНА.
FSECSIG:44|Инженер собирается захватить МСЦ.
FSECSIG:45|Рашиди: «Я также принес чертежи прототипа "Саламандры"».
FSECSIG:46|??? : «Кто ты? Почему ты здесь, чтобы помочь нам?»
FSECSIG:47|Сообщается, что местный командующий союзниками запрашивает связь.
FSECSIG:48|Рашиди: «Я постараюсь с ним пообщаться, а ты продолжай заниматься своим делом».
FSECSIG:49|...@#..$..%&...%#@...
FSECSIG:51|Рашиди: «Что же, командующий союзниками согласился присоединиться к нам против сил Эпсилон».
FSECSIG:52|Предупреждение: Обнаружено движение неизвестных объектов под землей, готовьтесь к обороне!
FSECSIG:53|Рашиди: «Подожди, не атакуй! Это Малвер пришел встретиться со мной».
FSECSIG:54|Пси-Маяк был уничтожен. МИССИЯ ПРОВАЛЕНА.
FSECSIG:55|Рашиди: «Мощность этого Пси-Маяка невелика, он не повлияет на нас и союзные базы».
FSECSIG:56|Малвер: «Ты приказал восстановить все нейротоксины в Ливии, но ... можем ли мы доверять этому ИИ (шепотом)?»
FSECSIG:57|Рашиди: «Не волнуйся, этот ИИ был рекомендован мне самой Юнру. Следуй его инструкциям».
FSECSIG:58|Малвер: «... Я Малвер, мне приказано принять ваше командование».
FSECSIG:59|Малвер: «Нейротоксины обладают сильным неврологическим эффектом и используются против ментального контроля».
FSECSIG:61|Малвер: «Но этот токсин требует специального устройства для распространения».
FSECSIG:62|Малвер: «Транспортерной машине требуется определенное время, чтобы собрать токсины для Пси-Маяка».
FSECSIG:63|Оставшееся время до завершения сборки токсина:
FSECSIG:64|Транспортер токсина был уничтожен. МИССИЯ ПРОВАЛЕНА.
FSECSIG:65|Пси-Маяк был захвачен, база союзников спасена.
FSECSIG:66|Отчет: Командующий союзниками передал вам командование базой.
FSECSIG:67|Малвер тяжело ранен, "мы" эвакуировали его с поля боя и отправили на лечение.
FSECSIG:68|Токсин собран.
FSECSIG:69|Рашиди: «Хорошо, теперь у наших людей есть возможность бороться с Пси-Маяками».
FSECSIG:71|Рашиди: «Пока вы защищали Пси-Маяк, я убедил командующего союзниками, технология контроля погоды получена».
FSECSIG:72|Рашиди: «Теперь я отвезу эти важные документы на Аляску, а Малвер возглавит сопротивление здесь».
FSECSIG:73|—— МИССИЯ ВЫПОЛНЕНА ——
FSECSIG:74|Командующий союзниками послал некоторые войска, чтобы поддержать нас.
FSECSIG:75|Спецсилы "Ячейки Скорпион" достигли этой области.
FSECSIG:60|Предупреждение: Обнаружено движение неизвестного объекта под землей.
FSECSIG:10|Предупреждение: Прибыли ВВС Эпсилон.
FSECSIG:20|Предупреждение: Обнаружены подводные лодки Эпсилон.
FSECSIG:28|Предупреждение: Приближается большое количество войск Эпсилон.
FSECSIG:50|Рашиди: «Но не уничтожайте его, иначе нас обнаружат».
FSECSIG:40|Малвер: «Захватите Пси-маяк и защитите его, пока сборка не будет завершена. Он подойдет для распространения».
FSECSIG:70|Малвер: «Не допустите уничтожения Пси-Маяка и транспортной машины в это время».
MAP:FSECSIG|Фанатская Миссия - Секретный Сигнал
FSMOKE:OBJ01|Задача 1: Проникнуть в Радар.
FSMOKE:01|- Через несколько недель после контрнаступления в Кашмире -
FSMOKE:02|Здесь мы нашли комплексную исследовательскую базу Эпсилон, Рейкьявик.
FSMOKE:03|Враг здесь разрабатывает новую технологию.
FSMOKE:04|Но пока мы ничего о ней не знаем.
FSMOKE:05|Прежде всего, мы должны проникнуть в этот Радар, чтобы получить больше информации.
FSMOKE:06|Используйте Провидца, чтобы сделать это.
FSMOKE:07|В Радар осуществлено проникновение, Мы собираем аналитические данные.
FSMOKE:08|Наш Провидец был убит. МИССИЯ ПРОВАЛЕНА.
FSMOKE:09|Радара был разрушен. МИССИЯ ПРОВАЛЕНА.
FSMOKE:10|Анализ завершен. Мы нашли новое транспортное средство противника.
FSMOKE:11|Похоже, что силы Эпсилон пытаются усилить Катушки Теслы с помощью Пси-Технологий.
FSMOKE:12|Эти прототипы могут ходить под землей благодаря своему дизайну.
FSMOKE:13|Наши герои, Фин и Ализ, помогут нам справиться с этой ситуацией.
FSMOKE:14|Благодаря уникальному нанотехнологическому дизайну они могут лечить друг друга, пока находятся рядом.
FSMOKE:15|Мы должны уничтожить все машины.
FSMOKE:16|Наш инженер захватит Радар, если мы сможем его найти.
FSMOKE:17|Кажется, эта статуя использует Пси-Контроль.
FSMOKE:18|Уничтожьте статую, тогда союзники будут освобождены!
FSMOKE:19|Союзные войска освобождены!
FSMOKE:OBJ02|Задача 2: Уничтожить все исследовательские сооружения.
FSMOKE:20|Ализ: "Эй, брат! Почему ты это сделал?"
FSMOKE:21|Время, до прибытия основных сил союзников в Рейкьявик:
FSMOKE:22|ВНИМАНИЕ - Приближаются союзные войска!
FSMOKE:23|Они могут стрелять в Нас, Мы должны уйти отсюда как можно скорее.
FSMOKE:24|Мы скоро отправим подкрепление, не дайте нашим героям умереть.
FSMOKE:25|Этот путь заблокирован, нам нужно найти другой выход.
FSMOKE:26|Фин и Ализ: "Извините?"
FSMOKE:27|Союзники отправили МСЦ в город.
FSMOKE:28|ВНИМАНИЕ - Еще больше союзников приближается из аэропорта!
FSMOKE:29|Эпсилон тщательно охраняет этот путь. Мы должны найти способ достичь нашей цели.
FSMOKE:OBJ03|Задача 3: Устранить силы Эпсилон в этой области.
FSMOKE:30|Солдат Союзников: «Пора дать отпор! Атакуйте! Атакуйте! Атакуйте!»
FSMOKE:31|Белый медведь: "УАР, ВСМ?"
FSMOKE:32|Фин погиб. МИССИЯ ПРОВАЛЕНА.
FSMOKE:33|Ализ погибла. МИССИЯ ПРОВАЛЕНА.
FSMOKE:34|Похоже, что Союзные войска собираются атаковать Эпсилон.
FSMOKE:35|Обратите внимание, что наши герои не должны быть убиты во время этой операции.
FSMOKE:36|ВНИМАНИЕ - Силы Эпсилон приближаются!
FSMOKE:37|Наша десантная группа прорвала блокаду противника.
FSMOKE:38|Это Пси-Маяк! Пусть Фин уничтожит его!
FSMOKE:39|Все машины были уничтожены.
FSMOKE:40|Союзные войска хотят, чтобы Мы заключили союз.
FSMOKE:41|Союзные войска отправили группу войск под наше командование.
FSMOKE:42|Все объекты были разрушены.
FSMOKE:43|Кажется, статуя использует Пси-Контроль.
FSMOKE:44|Солдат союзников: «Они идут!
FSMOKE:45|Мы достигли соглашения с союзниками. Ожидайте.
FSMOKE:46|Наш спутник обнаружил большое количество приближающихся войск Эпсилон.
FSMOKE:47|Закончите бой как можно скорее!
FSMOKE:48|Время до прибытия главных сил Эпсилона в Рейкьявик:
FSMOKE:49|ВНИМАНИЕ - Главные силы Эпсилона прибыли!
FSMOKE:50|Мы отступим с союзными силами прямо сейчас.
NAME:MFSMOKEWORMQUEEN|Неизвестная Вражеская Техника
BRIEF:FSMOKE|Наша контратака в Кашмире - значимая операция, однако праздновать еще рано. Все сведения, которые мы получили, приводят к пугающему факту, что силы Эпсилон пытаются разработать новую технологию, которая сочетает в себе мистическую силу и оружие, которым они пользовались ранее. И этот факт прекрасно объясняет, что произошло в Кашмире.\nИз данных, которые мы получили в Ванкувере теперь мы знаем, что Эпсилон разрабатывает свою новую игрушку недалеко от нашей базы. В Рейкьявике была обнаружена комплексная исследовательская база. Но что они разработали, для нас все еще остается загадкой. Чтобы предотвратить наихудшую ситуацию, пара специально обученных героев из брата и сестры будет отправлена туда, чтобы разобраться с этим.\n\nЗадача 1: Проникнуть в Радар.\nЗадача 2: Уничтожить все исследовательские сооружения.\nЗадача 3: Устранить силы Эпсилон в этой области.
