DESC:ABLUT|Blut Royale (A)
DESC:MO310|Tiki Torture (2-3)
DESC:MO311|Hostile Iceberg (2-3)
DESC:MO312|Minos Canyon (2-3)
DESC:MO401|Ruination (2-4)
DESC:MO402|Crimson Alert (2-4)
DESC:MO403|Seperated (2-4)
DESC:MO404|Desert Twilight (2-4)
DESC:MO405|Lakeside (2-4)
DESC:MO406|Frozen Throne (2-4)
DESC:MO407|Shattered (2-4)
DESC:MO408|City Fights Back (2-4)
DESC:MO409|Double Malice (2-4)
DESC:MO410|Frostration (2-4)
DESC:MO411|Rogue State (2-4)
DESC:MO412|Velillian Islands (2-4)
DESC:MO413|Circuit Board (2-4)
DESC:MO414|Lake Istelv (2-4)
DESC:MO415|Deep Freeze (2-4)
DESC:MO416|Alaskan Outback (2-4)
DESC:MO417|Desertification (2-4)
DESC:MO418|Collision Course (2-4)
DESC:MO420|Combat Zone (2-4)
DESC:MO422|Water Shed (2-4)
DESC:MO423|Fort Urban Square (2-4)
DESC:MO424|Caverns of Siberia (2-4)
DESC:MO425|Infinity (2-4)
DESC:MO427|Fort Kickass (2-4)
DESC:MO429|Crystal Forest (2-4)
DESC:MO431|Bull Run (2-4)
DESC:MO432|Little Piece of Island (2-4)
DESC:MO433|Yin Yang (2-4)
DESC:MO433X|Yin Yang (2vs1)
DESC:MO434|Desert Pacific (2-4)
DESC:MO435|Vicious Standings (2-4)
DESC:MO441|Matrices (2-4)
DESC:MO442|Pak Choi (2-4)
DESC:MO443|Stalington (2-4)
DESC:MO501|Rahn's Dungeon (2-5)
DESC:MO502|Sacred Lore (2-5)
DESC:MO503|Apocalypse Now (2-5)
DESC:MO506|Starcrossed (2-5)
DESC:MO601|Jungle Boogie (2-6)
DESC:MO602|Lost & Found (2-6)
DESC:MO603|High Explosive Round (2-6)
DESC:MO604|Ice Age (2-6)
DESC:MO606|Unrepentant (2-6)
DESC:MO607|Battle for Dune (2-6)
DESC:MO608|Bay of Pigs II (2-6)
DESC:MO611|Dead Six (2-6)
DESC:MO613|Mount Mirage (2-6)
DESC:MO614|Resource Strain (2-6)
DESC:MO615|Vodka on the Rocks (2-6)
DESC:MO616|Team-D-Arena (2-6)
DESC:MO617|Sidewinder (2-6)
DESC:MO802|Irvine, California (2-8)
DESC:MO803|Elusive Peace (2-8)
DESC:MO804|Hi-way, No-way (2-8)
DESC:MO805|Ore Pit (2-8)
DESC:MO806|Twilight Frost (2-8)
DESC:MO807|Twin Bridge (2-8)
DESC:MO808|Bordertown Beatdown (2-8)
DESC:MO809|Barren Wasteland (2-8)
DESC:MO810|Angst Driven (2-8)
DESC:MO811|Canyon Frost (2-8)
DESC:MO812|Hex Bay (2-8)
DESC:MO813|Mirage Oasis (2-8)
DESC:MO814|Jungle Warfare (2-8)
DESC:MO815|Crosshair (2-8)
DESC:MO816|Maelstrom (2-8)
DESC:MO817|Desperate Measures (2-8)
DESC:MO818|Cowfields (2-8)
DESC:MO819|Toxicity (2-8)
DESC:MO819X|Toxicity (4vs2)
DESC:MO820|Aquatic Divide (2-8)
DESC:MO820X|Aquatic Divide (4vs2)
DESC:MO821|Wheel of Torture (2-8)
DESC:MO822|Mayhem Islands (2-8)
DESC:MO823|In Need Indeed (2-8)
DESC:MO824|More of Egypt (2-8)
DESC:MO825|Seven Bridges (2-8)
DESC:MO826|North Sea (2-8)
DESC:MO827|Blue Hole (2-8)
DESC:MOI21|Paradise Islands (2)
DESC:MOI22|Cold War Stalemate (2)
DESC:MOI41|Honeymoon (2-4)
DESC:MOI42|Tsunami (2-4)
DESC:MOI43|Depth Charge (2-4)
DESC:MOI81|Wyvern's Wrath (2-8)
DESC:MOI82|Elusive Bridges (2-8)
DESC:MOI83|Hex Bay Ex (2-8)
DESC:MOI84|Heisenberg (2-8)
DESC:MP01DU|South Pacific (2-4)
DESC:MP01T4|Twin Isles (2-4)
DESC:MP02T2|Isle of War (2)
DESC:MP03T4|Anytown, Amerika (2-4)
DESC:MP05T4|Heartland (2-4)
DESC:MP06T2|Urban Rush (2)
DESC:MP07T4|Hammer and Sickle (2-4)
DESC:MP08T2|Little Big Lake (2)
DESC:MP09T3|Canyon Fodder (2-3)
DESC:MP10S4|Depth Charge (2-4)
DESC:MP11T2|Pinch Point (2)
DESC:MP12S4|Lake Blitzen (2-4)
DESC:MP13S4|Montana Warzone (2-4)
DESC:MP14T2|El Dorado (2)
DESC:MP15DZ|Double Trouble (2)
DESC:MP15S4|Snow Valley (2-4)
DESC:MP16S4|Snowball's Chance (2-4)
DESC:MP17T6|Malibu Cliffs (2-6)
DESC:MP18DU|Cold War (2-4)
DESC:MP18S3|Cold War (2-3)
DESC:MP19T4|Golden State Fwy (2-4)
DESC:MP20T6|Wild Nile Ride (2-6)
DESC:MP21S2|Alaskan Oil Spill (2)
DESC:MP22S8|Arctic Circle (2-8)
DESC:MP24DU|Bonanza (2-4)
DESC:MP24T2|Gold Rush (2)
DESC:MP25T6|DEFCON 6 (2-6)
DESC:MP26S6|Bering Strait (2-6)
DESC:MP27T8|A Path Beyond II (2-8)
DESC:MP28DU|LA Reservoir (2-4)
DESC:MP28U4|YR: Studio City (2-4)
DESC:MP29U2|The Alamo (2)
DESC:MP29U4|The Alamo (2)
DESC:MP30S6|Siberian Wastes (2-6)
DESC:MP31U2|May Day (2)
DESC:MP32S8|Heck Freezes Over (2-8)
DESC:MP33U4|Paris Revisited (2-4)
DESC:MP34U4|DC Uprising (2-4)
DESC:NODESCRIPTION|No description
DESC:SBURNED|Burned Alive (S)
DESC:SEGO|Ego Ergo Hax (S)
DESC:SLIGHTS|Lights Out (S)
DESC:SREPEN|Repentance (S)
DESC:SROLE|Role Reversal (S)
DESC:STHUNDER|Thunder God (S)
DESC:WEEK109|Arena Attack (2-4)
DESC:XTN01T2|Tournament Temple (2)
DESC:XTN02S4|Tournament Square (2-4)
DESC:XTN04T2|Tournament Isle (2)
GUI:AIEASY|Нормальный ИИ
GUI:AIHARD|Смертельный ИИ
GUI:AINORMAL|Сложный ИИ
GUI:ASSAULT|Штурм
GUI:BATTLE|Битва
GUI:BLOODYGAMES|Пехотная Война
GUI:BUILDOFFALLY|Строить У Союзника
GUI:CAMPAIGNLABEL|Миссия: %d
GUI:CAMPAIGNMENU|Миссии
GUI:CAMPAIGNRESULTS|Итоги Миссии:
GUI:CAPTURE|Захват
GUI:COOPERATIVE|Совместная Игра
GUI:CRATEPICKUP|Ящики Повсюду
GUI:CREATERANDOMMAP|Генератор Карт
GUI:EXITAREYOUSURE|Вы точно хотите выйти из Mental Omega?
GUI:FORTRESS|Крепость
GUI:GRANDERWAR|Метеоритный Дождь
GUI:HEROARENA|Арена Героев
GUI:ICONGLOSSARY|Описание значков, используемых в сетевой игре
GUI:ISLANDS|Острова
GUI:JOINERNOMAP|Не обнаружено карты %s. Посетите www.mo.cncguild.net чтобы проверить, все ли карты у вас есть.
GUI:KOTH|Царь Горы
GUI:LOADSAVEDGAME|Загрузить Игру
GUI:LOCALE|Место
GUI:MONSTERTRUCK|Войны Смертников
GUI:MOVIESANDCREDITS|Информация
GUI:MULTIENGINEER|Несколько Инженеров
GUI:NETWORK|LAN/VPN
GUI:NEWCAMPAIGN|Миссии
GUI:NEXTMISSION|Операция:
GUI:NOBASES|Без Базы
GUI:NORMALGAMEICONDESC|Эта игра не отобразится в статистике.
GUI:OK|OK
GUI:OPERATORICONDESC|Этот игрок оперирует сервером.
GUI:PARTIME|Рекорд
GUI:PLAYMOVIES|Ссылки
GUI:PREFERREDSERVER|Любимый Сервер
GUI:PREVIOUSMISSION|
GUI:SCAVENGERS|Мусорщики
GUI:SELECTCAMPAIGN|Выбрать Миссию
GUI:SNEAKPEEKS|О Нас
GUI:TEAMS|Команды
GUI:TECHALLIANCE|Технологический Союз
GUI:TECHLEVEL|Тех. Уровень
GUI:TOURNAMENTGAMEICONDESC|Эта игра отобразится в статистике.
GUI:TRADEMARKBOTTOM|Если это не решило проблему, перезагрузите компьютер.
GUI:TRADEMARKTOP|Произошла ошибка при запуске игры. Пожалуйста, перезапустите её.
GUI:UNHOLYALLIANCE|Нечестный Союз
GUI:URBANAREAS|Создать Городские Районы
GUI:VERSION|3.0 Бета 1\n
GUI:VIEWCREDITS|Авторы
GUI:WELCOMERA2ONLINE|Welcome to Mental Omega Online
GUI:WOLWELCOME|Multiplayer
GUI:WORKINGPLEASEWAIT|Подождите, идет работа...
GUI:WWBRAND|
GUI:WWONLINE|Сетевая Игра
GUI:YURISREVENGE|Mental Omega
GUI:YURIWEBSITE|mo.cncguild.net
NAME:ABRM|Танк Абрамс
NAME:ADOG|Боевой Пес Альянса
NAME:AERO|Вспышка
NAME:AHMV|Хамви Десанта
NAME:AHVYBOT|Танк Будущего X-0
NAME:AIAMCV|Мобильный Сборочный Цех Альянса
NAME:AISMCV|Мобильный Сборочный Цех Советов
NAME:AIYMCV|Мобильный Сборочный Цех Эпсилон
NAME:AKULA|Ракетный Крейсер Акула
NAME:ALL_COOP|Allied Coop Campaign
NAME:ALLIES|Альянс
NAME:AMC|МБМ Архонт
NAME:AMCV|Мобильный Сборочный Цех Альянса
NAME:AMEDIC|Полевой Медик
NAME:AMWC|Технологический Грузовик
NAME:ANT|Гигантский Муравей
NAME:APARA|Десант
NAME:APOC|Танк Апокалипсис
NAME:ARGT|Такси
NAME:ARMR|Норио
NAME:ASSN|Раан
NAME:AUSTIN|Austin, Texas (2-4)
NAME:AZIZ|Военачальник
NAME:BACKWARP|Хронооткат
NAME:BANK|Банк
NAME:BARRELS|Хранилище Бочек
NAME:BARRIER|Кинетический Барьер
NAME:BASILISK|Василиск
NAME:BASS|Орудие Афина
NAME:BATTERSEA|Электростанция Баттерси
NAME:BEAG2|Черный Орел
NAME:BEETLE|Гигантский Жук
NAME:BGGY|Багги-Бомба
NAME:BIGPOWER|Городская Электростанция
NAME:BIKE|Безумный мотоциклист
NAME:BIOR|Биореактор
NAME:BISON|Бизон
NAME:BLOODHOUNDS|Ищейки
NAME:BLZZ|Танк Буран
NAME:BOOMER|Платформа "Град"
NAME:BOREK|БТР Борилло
NAME:BPLN|Бомбардировщик МиГ
NAME:BPLNX|Прототип X-МиГ
NAME:BRUTA|Мутант
NAME:BUILDING|Здание
NAME:BURA|Буратино
NAME:CAABOX|Коробка
NAME:CAAFLG|Флаг Альянса
NAME:CAAPAD|Вертолетная Площадка
NAME:CAAPWR|Нефтезавод
NAME:CAARFGL|Флаг Аргентины
NAME:CAART|Гражданский Артиллерийский Бункер
NAME:CAARTY|Большая Пушка
NAME:CAASHN|Рекламный Щит Фрэнка Клепаки
NAME:CAASUK|Рекламный щит Ares - Расширяя границы возможного
NAME:CAAZIZ|Дворец Рашиди
NAME:CABALL|Пушечные Ядра
NAME:CABANN01|Баннер
NAME:CABANN03|Железнодорожный Знак
NAME:CABARR2|Бункер Повстанцев
NAME:CABILL01A|ПОДЧИНЯЙСЯ
NAME:CABILL02A|Рекламный Щит Серп и Молот
NAME:CABILL03A|Рекламный Щит Советского Мира
NAME:CABILL04A|Будь с Юрием
NAME:CABILL05A|Рекламный Щит Советской Армии
NAME:CABILL06A|Долг Зовет!
NAME:CABILL07A|Рекламный Щит Романова
NAME:CABILL08A|Рекламный Щит Юрия и Романова
NAME:CABILL09A|Рекламный Щит Космонавтики
NAME:CABILL10A|Рекламный Щит Советского Космоса
NAME:CABILL11A|Рекламный Щит Ленина
NAME:CABIOS|Археологический Музей
NAME:CABRID|Мост
NAME:CABRKK|Здание
NAME:CABSTA|Бронзовый Стадион
NAME:CABUBB|Бочки
NAME:CABUBL|Резервуар
NAME:CABUDD|Статуя Будды
NAME:CACANN01|Орудие
NAME:CACARG01|Контейнер
NAME:CACASK|Пивная Бочка
NAME:CACAST|Бастион
NAME:CACHIN|Флаг Китая
NAME:CACHNA03|Башня
NAME:CACHUR01|Храм
NAME:CACHUR02|Собор Св.Джеймса
NAME:CACHUR09|Руины Цитадели
NAME:CACHUT|КПП
NAME:CACMNT|Радиовышка
NAME:CACNONA|Маленькая Пушка
NAME:CACNSRV|Музей
NAME:CACOLM|Колонна
NAME:CACOLO|Колизей
NAME:CACOMN|Станция Взлома Спутников
NAME:CACRYO|Криокупол
NAME:CACTNT|Палатка
NAME:CADEFN|Защитная Система Гладиус
NAME:CADFLY|Стрекоза
NAME:CADOME|Радиолокационная Станция
NAME:CADRAG01|Хвост Дракона
NAME:CADRAG02|Врата Дракона
NAME:CADRAG03|Голова Дракона
NAME:CADRAG04|Голова Дракона
NAME:CADRIL|Ржавый Бур
NAME:CADTBG|Дополнение К Классике - Спешите Увидеть!
NAME:CAEAST02|Статуя Юрия
NAME:CAEMBA|Посольство
NAME:CAESBL|Небоскреб Эмпайр Стэйт Билдинг
NAME:CAEXCV|Место Земляных Работ
NAME:CAFACC|Старый Завод
NAME:CAFCTR|Завод
NAME:CAFDZ|Ветряная Электростанция
NAME:CAFLAG|Флаг Игрока
NAME:CAFNCB|Черный Забор
NAME:CAFNCP|Тюремная Ограда
NAME:CAFNCW|Белый Забор
NAME:CAFUEL|Топливный Резервуар
NAME:CAFUSI|Сейсмический Стабилизатор
NAME:CAGARD|Сторожевая Вышка
NAME:CAGARG|Гараж
NAME:CAGEAR|Ангар FutureTech
NAME:CAHANG|Ангар
NAME:CAHEAV|Храм Небес
NAME:CAHEL3|Шахта Добычи Гелия-3
NAME:CAHELI|Вертолетная Площадка
NAME:CAHERT|Штаб-Квартира Ставки
NAME:CAHMG|Гражданская Пулеметная Вышка
NAME:CAHTCH|Люк
NAME:CAIFLG|Флаг Италии
NAME:CAINDU01|Промышленные Руины
NAME:CAJAPA06|Японская Стена
NAME:CAJHUT|Бамбуковая Хижина
NAME:CAJORA|Храм
NAME:CAJPFLG|Флаг Японии
NAME:CAJUNK|Склад Металлолома
NAME:CAJWAT|Старая Водонапорная Башня
NAME:CAKANE01|Лаборатории Канегава Индастриз
NAME:CAKANE05|Ассамблея Канегава Индастриз
NAME:CAKANE06|Штаб-Квартира Канегава Индастриз
NAME:CAKRMW|Стена
NAME:CALASR|Skywatcher
NAME:CALGHT01|Прожектор
NAME:CALIT02|Фонарь
NAME:CALIT03|Фонарь
NAME:CALOND06|Тауэр
NAME:CAMALL|Большой Торговый Центр
NAME:CAMDDB|Рекламный Щит ModDB
NAME:CAMIKU|Рекламный Щит World Beyond
NAME:CAMINE|Вход В Шахту
NAME:CAMINE01|Добывающий Комбинат
NAME:CAMINE02|Ангар
NAME:CAMINE04|Шахта
NAME:CAMISC06|Ракеты Эльбрус
NAME:CAMISC06X|Ракеты Эльбрус
NAME:CAMISC0X|Бочка
NAME:CAMISL|Гражданский Ракетный Бункер
NAME:CAMONA|Собор Св. Софии
NAME:CAMONEY|Donation Crate
NAME:CAMONU|Обелиск
NAME:CAMRKT01|Рынок
NAME:CAMSC13|Брошенный Танк Мамонт
NAME:CAMUSE01|Особняк
NAME:CANAVY|Администрация Порта
NAME:CANEWY05|Всемирный Торговый Центр
NAME:CANMIN|Подводная Мина
NAME:CANRKR|Флаг Северной Кореи
NAME:CANWY05|Всемирный Торговый Центр
NAME:CAOILDX|Нефтевышка
NAME:CAOLEO|Участок Нефтепровода
NAME:CAOPER|Оперный Театр Тенерифе
NAME:CAOPLT|Нефтедобывающая Платформа
NAME:CAOS|Генодрон
NAME:CAOSTA|Сапфировый Стадион
NAME:CAPAD|Вертолетная Площадка
NAME:CAPALA|Особняк
NAME:CAPALACE|Дворец Екатерины
NAME:CAPARS01|Эйфелева Башня
NAME:CAPARS11|Триумфальная Арка
NAME:CAPARS12|Нотр-Дам
NAME:CAPC|Казак
NAME:CAPETE|Руины Базилики Св. Петра
NAME:CAPHUT|Пляжная Будка
NAME:CAPICN01|Столик
NAME:CAPIPE|Бетонные Блоки
NAME:CAPLAT|Вокзал
NAME:CAPLAT01|Разрушенная Платформа
NAME:CAPOLI|Полицейский Участок
NAME:CAPOWR|Гражданская Электростанция
NAME:CAPOZN|Гала-Арена
NAME:CAPP|Угольная Электростанция
NAME:CAPRS03|Музей Лувр
NAME:CAPRS03X|Музей Лувр
NAME:CAPRSN|Тюремное Здание
NAME:CARADI|Башня Радиосвязи
NAME:CARADT|Гражданская Станция Радиосвязи
NAME:CARAIL|Психокинетическая Башня
NAME:CAREFN|Гражданский Перерабатывающий Комбинат
NAME:CARIK|Местечко Рика
NAME:CARING|Площадь Св. Петра
NAME:CARODS01|Стальные Прутья
NAME:CARSIN|Знак Радиационной Опасности
NAME:CARV|Генерал Карвилль
NAME:CASAM|Гражданский Бункер ЗРК
NAME:CASANF15|Водонапорная Башня
NAME:CASANT|Замок Сант'Анджело
NAME:CASCIE01|Исследовательский Модуль
NAME:CASEJM01|Польский Сейм
NAME:CASEJM02|Здание Сейма
NAME:CASEJM03|Здание Сейма
NAME:CASHIP|Обломки Корабля
NAME:CASHSE01|Дом С Хранилищами
NAME:CASHSE02|Кирпичный Склад
NAME:CASHSE03|Завод С Хранилищами
NAME:CASHUT|Склад
NAME:CASIEG|Поместье Зигфрида
NAME:CASLUM|Трущобы
NAME:CASOLR|Солнечная Панель
NAME:CASPAC|Пусковая Площадка
NAME:CASSAM|Автономный ЗРК
NAME:CASTAT|Вокзал
NAME:CASTEI|Рекламный Щит Классики
NAME:CASTEIN|Берлинский Университет ШтейнТек
NAME:CASTON|Каменная Статуя
NAME:CASTOR|Хранилище
NAME:CATA|Танк Катастрофа
NAME:CATARGII|Тренировочная Мишень
NAME:CATEKN01|Лаборатория
NAME:CATEKN02|Старая Лаборатория
NAME:CATENT01|Палатка
NAME:CATHOSP|Гражданский Госпиталь
NAME:CATIER|Гражданская Лаборатория Передовых Исследований
NAME:CATIKI01|Истукан
NAME:CATOKY|Башня Токио
NAME:CATPIP|Участок Трубопровода
NAME:CATSAR|Царь-Колокол
NAME:CATSTAT|Вокзал
NAME:CATUR|Гражданский Орудийный Бункер
NAME:CATURR|Противотанковая Турель
NAME:CAVENT|Вентилятор
NAME:CAWARS|Склад
NAME:CAWHEE|Водное Колесо
NAME:CAWIND|Ветряк
NAME:CAWOOD|Деревянные Доски
NAME:CAWSTA|Платиновый Стадион
NAME:CAYBAN|Знамя Эпсилон
NAME:CAYUNO|Рекламный Щит CnCNet
NAME:CAZOO|Зоопарк
NAME:CCOMAND|Крио Коммандо
NAME:CDOG|Пес
NAME:CHINESE|Китай
NAME:CHITZ|Чицкой
NAME:CHRONO|Хроносдвиг
NAME:CHRONOACTIVE|ВНИМАНИЕ - Активирована Хроносфера!
NAME:CHRTNK|Танк Харон
NAME:CITADEL|Стена Цитадели
NAME:CLNT|Клинт Иствуд
NAME:CLUS|Десант
NAME:CMDVH|Штабная Машина
NAME:CNTR|Штурмовой Шагоход Центурион
NAME:COMA|Ястреб Войны
NAME:COMND|Дрон-Хакер
NAME:CONFEDERATION|Конфедерация
NAME:CONFEDERATIONZ|Конфедерация
NAME:CONVEH|Строительная Техника
NAME:COPCAR|Полицейский Фургон
NAME:CRYO|Криокоптер
NAME:CRYOFIELD|Обледенение
NAME:CRYS|Генератор
NAME:CTNK|Танк Цилинь
NAME:CTRUCK|Грузовик
NAME:CYBO|Прототип Киборга
NAME:CYBORG|Киборг
NAME:CYCOM|Киборг-Коммандо
NAME:CYURI|Хроно-Адепт
NAME:DARTY|Demolisher Artillery
NAME:DBMOV|Рекламный Щит Darker than Black
NAME:DDBX|Двухэтажный Автобус
NAME:DDREC|Пси-Маяк можно будет захватить через:
NAME:DEBRIS|Стройматериалы
NAME:DECI|Танк Дециматор
NAME:DEER|Олень
NAME:DEFD|Защитник
NAME:DELTA|Дельта
NAME:DEPILUS|Пси-Прерыватель
NAME:DERSPIELER|Штаб "Der Spieler"
NAME:DESERT|Пустыня
NAME:DESO|Северная Корея
NAME:DESO2|Загрязнитель
NAME:DESOR|Выжигатель
NAME:DETRIEV|Детриев
NAME:DEV|Совратитель
NAME:DEVO|Колосс
NAME:DISK|Посягатель
NAME:DLPHCALL|Дельфиний Зов
NAME:DMOBUGY|Багги-Бомба
NAME:DOG|Советский Боевой Пес
NAME:DOME|Радиолокационная Станция
NAME:DOMINACTIVE|ВНИМАНИЕ - Активирован Пси-Подчинитель!
NAME:DONATION|Пожертвование
NAME:DOOMTUR|Улей Нанороя
NAME:DOZER|Бульдозер
NAME:DRIL|Буроход
NAME:DRONC|Дрон Ужаса
NAME:DTRUCK|Китай
NAME:DTRUCK2|Грузовик-Бомба
NAME:DUMMY|
NAME:DUMMYDUMMY|
NAME:DUNE|Пустынный Серфер
NAME:EDRN|Дрон Стрекоза
NAME:ELECTRICPULSE|Сонарное Сканирование
NAME:ELEPHANT|Слон
NAME:EMP|Импульс ЭМИ
NAME:EMPR|Орудие Нюйва
NAME:EMPULS|Импульс ЭМИ
NAME:ENFO|Штурмовой Специалист
NAME:ENGINEER|Инженер Альянса
NAME:EPSILON|Эпсилон
NAME:ETNK|Легкий Танк Бульдог
NAME:EUROALLIANCE|Евросоюз
NAME:EXPPOST|Строительный Аванпост
NAME:EZOMBIE|Зараженный Зомби
NAME:FADTNK|Легкий Танк
NAME:FEYRIS|Колесо Обозрения
NAME:FLAKEY|Енот
NAME:FLAMER|Огнеметчик
NAME:FLATA|Ракетовоз
NAME:FLTNK|Огнеметный Танк
NAME:FORTRESS|Барракуда
NAME:FOX|Фокстрот
NAME:FREB|Повстанец
NAME:FRIDGE|Ледовоз
NAME:FTHQ|Спектральная Башня ШтейнТек
NAME:FV|БМП Страйкер 
NAME:GAAIRB|Штаб ВВС Альянса
NAME:GAAIRC|Штаб ВВС Альянса
NAME:GABUNK|Мгновенное Укрытие
NAME:GACNST|Сборочный Цех Альянса
NAME:GACREM|Части Хроносферы
NAME:GACSPH|Хроносфера
NAME:GADUMY|Хроносфера
NAME:GAFNCE|Призма-Барьер
NAME:GAFSDF|Nanoswarm Section
NAME:GAGARD|Смотровая Вышка
NAME:GAGUN|Орудийная Башня
NAME:GAHAMM|Турель Молот
NAME:GAHPAD|Взлетная Полоса
NAME:GAIA|Платформа Геи
NAME:GAMGAP|Deployed Mirage Tank
NAME:GAMISL|Ракетная Шахта
NAME:GAOREP|Очиститель Руды
NAME:GAPOST|Узел Призма-Барьера
NAME:GARADR|Радарная Станция
NAME:GARAIN|Погодный Кристалл
NAME:GASCEA|Центр Управления Щитом
NAME:GASCPF|Центр Управления Роботизированными Операциями
NAME:GASCUS|Улучшение Штаба ВВС:\nШтаб Десантных Операций
NAME:GASNPR|Смотровая Вышка
NAME:GASONIC|Орудие Небесный Луч
NAME:GASPST|Станция Связи С Шпионским Спутником
NAME:GASPYSAT|Радарный Комплекс
NAME:GATECH|Технологический Центр Альянса
NAME:GATECHZ|Технологический Центр
NAME:GATEEW|Ворота Запад-Восток
NAME:GATENE|Ворота \
NAME:GATENS|Ворота Север-Юг
NAME:GATESW|Ворота /
NAME:GATTCANNON|Орудие Гаттлинга
NAME:GATTTANK|Танк Гаттлинга
NAME:GAWALL|Бетонная Стена
NAME:GAWEAP|Военный Завод Альянса
NAME:GAWEAPZ|Военный Завод Альянса
NAME:GAWEAT|Устройство Управления Погодой
NAME:GAYARD|Верфь Альянса
NAME:GAYARDX|Верфь Альянса
NAME:GBEAR|Гризли
NAME:GENE|Мутация
NAME:GENERAL|Mental Omega 3.3.Х -- Official Rules of Engagement
NAME:GENIUS|Гений
NAME:GGOLEM|Каменный Голем
NAME:GGRAIN|Rainmaker
NAME:GHOST|Морской Котик
NAME:GOTTER|Воздушная Крепость Иркалла
NAME:GOVER|Правительственное Здание
NAME:GREECE|Греция
NAME:GTGCAN|France
NAME:GUANTANAMO|Бухта Гуантанамо
NAME:GUARDIANGI|Гвардеец
NAME:GUNB|Канонерка
NAME:GUNNER|Наемник
NAME:GYRO|Гирокоптер
NAME:HARP|Лучник
NAME:HARV|Боевой Рудокоп
NAME:HAULR|Грузовик
NAME:HAUN|Haunebu
