THEME:INTRO|Intro
STT:LOBBYEDITINPUT|Напишите ваше сообщение здесь, нажмите Ввод и ждите ответа.
STT:LOBBYBUTTONNEW|Создать новую сетевую игру.
STT:LOBBYBUTTONJOIN|Присоединиться к уже существующей сетевой игре.
STT:LOBBYBUTTONBACK|Вернуться в основное меню.
STT:HOSTPICTUREACCEPTANCE|Игра начнется только тогда, когда все игроки нажмут 'Применить'.
STT:HOSTCOMBOPLAYER|'Открыто' позволит игроку присоединиться. 'Закрыто' не пустит игроков.
STT:HOSTPICTUREFLAG|Национальный флаг игрока.
STT:HOSTCOMBOCOUNTRY|Национальность игрока.
STT:HOSTCOMBOCOLOR|Цвет игрока.
STT:HOSTSLIDERSPEED|Настроить скорость подразделений и время постройки.
STT:HOSTSLIDERCREDITS|Настроить кол-во финансов в начале игры.
STT:HOSTSLIDERTECH|Ограничения технологического дерева.
STT:HOSTSLIDERUNIT|Выбрать количество подразделений в начале игры.
STT:HOSTCBOXREDEPLOYS|Сборочные Цеха могут быть свернуты обратно в МСЦ.
STT:HOSTCBOXSHORTGAME|Игрок выигрывает, когда все вражеские здания разрушены.
STT:HOSTCBOXCRATES|На карте появляются ящики с сюрпризами.
STT:HOSTEDITOUTPUT|Здесь показаны сообщения от других игроков.
STT:HOSTEDITINPUT|Напишите ваше сообщение здесь, нажмите Ввод и ждите ответа.
STT:HOSTMAPTHUMBNAIL|Вид со спутника на поле боя можете поменять только Вы.
STT:HOSTLABELSCENARIO|Название поля боя можете поменять только Вы.
STT:HOSTBUTTONGO|Начать игру. Все должны сначала нажать 'Применить'.
STT:HOSTBUTTONCHOOSEMAP|Выбор поля боя.
STT:HOSTSLIDERAIDIFFICULTY|Настроить уровень умений компьютерного игрока.
STT:HOSTBUTTONBACK|Вернуться в меню прихожей.
STT:GUESTPICTUREACCEPTANCE|Игра начнется только тогда, когда все игроки нажмут 'Применить'.
STT:GUESTCOMBOPLAYER|'Открыто' позволит игроку присоединиться. 'Закрыто' не пустит игроков.
STT:GUESTPICTUREFLAG|Национальный флаг игрока.
STT:GUESTCOMBOCOUNTRY|Национальность игрока.
STT:GUESTCOMBOCOLOR|Цвет игрока.
STT:GUESTSLIDERSPEED|Скорость игры может менять только сервер игры.
STT:GUESTSLIDERCREDITS|Начальные финансы может изменить только сервер игры.
STT:GUESTSLIDERTECH|Максимальный тех. уровень может изменить только сервер игры.
STT:GUESTSLIDERUNIT|Только сервер игры может изменить кол-во начальных подразделений.
STT:GUESTCBOXREDEPLOYS|Только сервер игры может сделать Сборочные Цеха передвижными.
STT:GUESTCBOXSHORTGAME|Игроки должны уничтожить только все здания для победы.
STT:GUESTCBOXCRATES|Только сервер игры может включить появление ящиков.
STT:GUESTEDITOUTPUT|Здесь показаны сообщения от других игроков.
STT:GUESTEDITINPUT|Напишите Ваше сообщение здесь, нажмите Ввод и ждите ответа.
STT:GUESTMAPTHUMBNAIL|Вид со спутника на поле боя может менять только сервер игры.
STT:GUESTLABELSCENARIO|Название поля боя может менять только сервер игры.
STT:GUESTBUTTONACCEPT|Нажмите эту кнопку, когда будете готовы к игре.
STT:GUESTSLIDERAIDIFFICULTY|Настроить уровень умений компьютерного игрока.
STT:GUESTBUTTONBACK|Вернуться в меню прихожей.
STT:OPTIONSBUTTONPREFERENCES|Изменить настройки пользователя.
STT:OPTIONSBUTTONSNEAK|Посмотреть небольшой анонс!
STT:OPTIONSBUTTONMOVIES|Посмотреть видео из исторических кампаний.
STT:OPTIONSBUTTONCREDITS|Создатели игры из Westwood Studios и переводчики из Siberian Studio.
STT:OPTIONSBUTTONBACK|Вернуться в основное меню.
STT:MAINOPTBUTTONGAMESETTINGS|Разрешить вам изменять настройки игры.
STT:MAINOPTBUTTONDISPLAY|Изменить разрешение экрана.
STT:MAINOPTBUTTONSOUND|Изменить настройки звука.
STT:MAINOPTBUTTONKEYBOARD|Изменить клавиатурные команды.
STT:MAINOPTBUTTONBACK|Вернуться в Главное Меню.
STT:GAMEOPTSLIDERSPEED|Настроить скорость игры.
STT:GAMEOPTSLIDERSCROLL|Настроить скорость прокрутки экрана мышкой.
STT:GAMEOPTSLIDERVISUAL|Настроить уровень графической детализации в игре.
STT:GAMEOPTSLIDERDIFFICULTY|Настроить сложность игры.
STT:GAMEOPTCBOXCAMEO|Настроить показ имен подразделений на кнопках панели.
STT:GAMEOPTCBOXTOOLTIPS|Выбрать, будут показываться подсказки или нет.
STT:GAMEOPTCBOXTARGETLINES|Вкл. или выкл. линии нацеливания подразделений.
STT:GAMEOPTCBOXHIDDEN|Показывать подразделения, скрытые зданиями.
STT:GAMEOPTCBOXSCROLLCOASTING|Вкл. или выкл. плавную прокрутку.
STT:GAMEOPTBUTTONBACK|Вернуться в меню настроек.
STT:DISPLAYLISTMODES|Выбор разрешения, которое будет использоваться в игре.
STT:DISPLAYCBOXSTRETCHMOVIES|Растягивать видео на весь экран - вкл. или выкл.
STT:DISPLAYBUTTONPROCEED|Применить ваши изменения параметров экрана.
STT:DISPLAYBUTTONBACK|Вернуться в меню основных опций.
STT:SOUNDLITESLIDERMUSIC|Настроить уровень громкости музыки.
STT:SOUNDLITESLIDERSOUND|Настроить уровень громкости звуков.
STT:SOUNDLITESLIDERVOICE|Настроить уровень громкости голоса.
STT:SOUNDLITEBUTTONBACK|Вернуться в меню основных опций.
STT:KEYBOARDCOMBOCATEGORY|Выберите категорию команд клавиатуры.
STT:KEYBOARDGROUPDESCRIPTION|Описание выбранной Вами команды.
STT:KEYBOARDLISTCOMMANDS|Возможные команды для этой категории.
STT:KEYBOARDLABELSHORTCUT|Отображение нынешней клавиши для этой команды.
STT:KEYBOARDLABELERROR|
STT:KEYBOARDEDITENTRY|Введите здесь новую команду клавиши.
STT:KEYBOARDBUTTONASSIGN|Применить Ваш выбор изменения команды клавиши.
STT:KEYBOARDLABELASSIGNED|На эту команду сейчас назначена горячая клавиша.
STT:KEYBOARDBUTTONRESETALL|Поставить по умолчанию все значения клавиш.
STT:KEYBOARDBUTTONBACK|Вернуться в меню настроек.
STT:BRIEFINGLABELCONTENT|Цели Вашей миссии.
STT:BRIEFINGBUTTONRETURN|Вернуться к миссии.
STT:CONFIRMEXITBUTTONABORT|Прервать игру.
STT:CONFIRMEXITBUTTONRESTART|Переиграть миссию кампании.
STT:CONFIRMEXITBUTTONRESUME|Вернуться к миссии.
STT:CONFIRMMODEBUTTONOK|Применить изменения разрешения экрана.
STT:CONFIRMMODEBUTTONCANCEL|Вернуть Ваше старое разрешение экрана.
STT:DIPLOMACYLABELPLAYER|Имя игрока.
STT:DIPLOMACYCBOXALLIES|Предложение заключить союз с этим игроком.
STT:DIPLOMACYCBOXLISTENERS|Включить Ваши сообщения полученные этим игроком.
STT:DIPLOMACYCBOXKILLS|Показать количество подразделений уничтоженных этим игроком.
STT:DIPLOMACYBUTTONRETURN|Возврат к бою.
STT:IGGAMEOPTSLIDERSPEED|Настроить скорость подразделений и время строительства.
STT:IGGAMEOPTSLIDERSCROLL|Настроить скорость прокрутки экрана мышкой.
STT:IGGAMEOPTSLIDERVISUAL|Настроить графические эффекты в игре.
STT:IGGAMEOPTCBOXTOOLTIPS|Вкл. или выкл. помощь.
STT:IGGAMEOPTCBOXTARGETLINES|Показывать линии нацеливания подразделений при движении и атаке.
STT:IGGAMEOPTCBOXHIDDEN|Показывать подразделения, скрытые зданиями.
STT:IGGAMEOPTCBOXSCROLLCOAST|Tactical map slowly coasts to a stop.
STT:IGGAMEOPTBUTTONSOUND|Настроить уровень громкости звука.
STT:IGGAMEOPTBUTTONKEYBOARD|Изменить настройки горячих клавиш.
STT:IGGAMEOPTBUTTONBACK|Вернуться к бою.
STT:GENERATECBOXENVIRONMENT|Выбрать поле боя.
STT:GENERATECBOXTIME|Выбрать время суток (день или ночь).
STT:GENERATECBOXTHEATER|Выбрать теплый или холодный климат.
STT:GENERATECBOXMAPSIZE|Выбрать размер поля боя.
STT:GENERATECBOXRESOURCES|Выбрать количество руды на карте.
STT:GENERATESLIDERNUMPLAYERS|Максимальное количество оппонентов на этом поле боя.
STT:GENERATEBUTTONSURPRISE|Поставить случайные параметры поля боя.
STT:GENERATEBUTTONPREVIEW|Создать поле боя.
STT:GENERATEBUTTONLOADMAP|Загрузить уже созданные поля боев.
STT:GENERATEBUTTONSAVEMAP|Сохранить это поле боя.
STT:GENERATEBUTTONDELETEMAP|Удалить сохраненное поле боя.
STT:GENERATEBUTTONUSEMAP|Играть на этом поле боя.
STT:GENERATEBUTTONCANCEL|Вернуться в меню создания игры.
STT:MSNDLTLISTMISSION|Выбор поля боя для удаления.
STT:MSNDLTBUTTONDELETE|Удалить выбранное поле боя.
STT:MSNDLTBUTTONBACK|Вернуться в предыдущее меню.
STT:MSNSAVELISTMISSION|Поля боя, которые Вы уже сохраняли.
STT:MSNSAVEEDITNAME|Имя Вашего сохраненного поля боя.
STT:MSNSAVEBUTTONSAVE|Сохранить поле боя.
STT:MSNSAVEBUTTONBACK|Вернуться в предыдущее меню.
STT:MPSCORELABELGAME|Количество игр, которые вы завершили.
STT:MPSCORELABELTIME|Как долго Вы сражались в битве.
STT:MPSCORELABELPLAYER|Имя игрока.
STT:MPSCORELABELKILLS|Количество подразделений, уничтоженных этим игроком.
STT:MPSCORELABELLOSSES|Количество подразделений, потерянных этим игроком.
STT:MPSCORELABELBUILT|Количество зданий и подразделений, созданных этим игроком.
STT:MPSCORELABELSCORE|Общие очки этого игрока.
STT:MPSCOREBUTTONCONTINUE|Переход к следующему Меню.
STT:IGSINGLEOPTBUTTONCONTROLS|Изменение ваших настроек.
STT:IGSINGLEOPTBUTTONLOAD|Загрузить сохраненную миссию и прервать эту.
STT:IGSINGLEOPTBUTTONSAVE|Сохранить эту миссию.
STT:IGSINGLEOPTBUTTONABORT|Прервать миссию.
STT:IGSINGLEOPTBUTTONBACK|Вернуться к миссии.
STT:IGMULTIOPTBUTTONCONTROLS|Изменение Ваших настроек.
STT:IGMULTIOPTBUTTONABORT|Прервать эту игру.
STT:IGMULTIOPTBUTTONRESUME|Вернуться в игру.
STT:RECONNECTBUTTONPLAYER|Нажать эту кнопку для голосования, чтобы загрузить этого игрока.
STT:RECONNECTPROGRESSPLAYER|Показывать время до того, как этот игрок покинет игру.
STT:RECONNECTLABELTIME|Время, оставшееся до конца игры.
STT:RECONNECTEDITINFO|Инструкции.
STT:RECONNECTBUTTONLEAVEGAME|Выйти из игры.
STT:SCENARIOLISTGAMETYPE|Выберите тип битвы.
STT:SCENARIOLISTMAPS|Выберите поле боя.
STT:SCENARIOMAPTHUMBNAIL|Вид со спутника над данным полем боя.
STT:SCENARIOBUTTONUSEMAP|Использовать данное поле боя.
STT:SCENARIOBUTTONRANDOM|Создать случайное поле боя.
STT:SCENARIOBUTTONCANCEL|Вернуться в меню создания поля боя.
STT:SOUNDOPTSLIDERMUSIC|Настроить уровень громкости музыки.
STT:SOUNDOPTSLIDERSOUND|Настроить уровень громкости звуков.
STT:SOUNDOPTSLIDERVOICE|Настроить уровень громкости голоса.
